;id;chain;velocity;rmse_sc;rmse_sn;rmse_srg;rmse_srgo;rmse_sr;rmse_srgd;rmse_srd;nse_sc;nse_sn;nse_srg;nse_srgo;nse_sr;nse_srgd;nse_srd;x;y
0;41905;185542.2744992548;0.8333333333333334;0.3887;0.3171;0.3093;0.3086;0.3997;0.2343;0.0862;0.9458;0.9639;0.9656;0.9658;0.9426;0.9776;0.9972;6.6041;51.6472
1;41861;218037.67530584385;0.8333333333333334;0.3603;0.3128;0.3254;0.3252;0.5005;0.2356;0.0798;0.9471;0.9601;0.9569;0.9569;0.8979;0.9761;0.9971;6.7221;51.4638
2;41931;255202.3656464955;0.8333333333333334;0.3247;0.3311;0.3131;0.3102;0.4197;0.2492;0.0762;0.9533;0.9515;0.9566;0.9574;0.922;0.9708;0.9974;6.7681;51.2277
3;42213;310050.6355811434;0.8333333333333334;0.3314;0.3418;0.3197;0.3195;0.628;0.2557;0.0922;0.9508;0.9476;0.9542;0.9542;0.8232;0.9697;0.9961;6.9696;50.9495
4;41903;361011.36655822257;0.8333333333333334;0.3438;0.3279;0.2836;0.2872;0.4809;0.2279;0.1003;0.9304;0.9367;0.9526;0.9514;0.8638;0.9691;0.9943;7.2126;50.6159
5;41900;439615.0889590909;0.8333333333333334;0.3908;0.3461;0.3418;0.3472;0.5116;0.3547;0.2044;0.8914;0.9163;0.9185;0.9158;0.8181;0.9159;0.9703;7.6803;50.1702
6;41899;448733.0573867012;0.8333333333333334;0.4455;0.422;0.3398;0.3375;0.6366;0.3509;0.1661;0.846;0.8637;0.9117;0.9129;0.6899;0.911;0.9797;7.7233;50.1131
7;41897;478239.2477053198;0.8333333333333334;0.5051;0.2554;0.2271;0.2261;0.3745;0.2249;0.1283;0.5811;0.8942;0.9164;0.9171;0.7725;0.9188;0.9727;8.0022;49.9892
8;41893;555161.3104702845;0.8333333333333334;0.3248;0.3202;0.2636;0.2641;0.325;0.2229;0.061;0.9205;0.9232;0.948;0.9478;0.9209;0.9636;0.9976;8.3784;49.6366
9;41865;598357.646958985;0.8333333333333334;0.3811;0.2781;0.2634;0.2634;0.5019;0.2181;0.0765;0.8868;0.9401;0.9463;0.9463;0.8049;0.9663;0.9959;8.4505;49.324
10;41891;636723.4951453801;0.8333333333333334;0.3398;0.261;0.2546;0.2546;0.4061;0.213;0.0801;0.8788;0.9292;0.9326;0.9327;0.8286;0.9563;0.9936;8.3056;49.0423
