;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;Po;1,482877586969633;0,024;850;15;0,3502842206634598;0,10418235294117648;0,3547655294117647;0,4597;0,9453;0,1023;0,3478;0,1791;0,9382;0,7387;0,9976;0,9615;0,9919
1;46221;114018,01273358069;Po;0,6177613413614713;0,06;1201;23;0,33029145240257135;0,12017402164862614;0,6136030807660282;0,5123;0,9575;0,126;0,4779;0,3454;0,9275;0,7467;0,9962;0,9274;0,969
2;46225;171852,2804483872;Po;1,2541532465555483;0,032;1062;20;0,31274671010634136;0,1215018832391714;0,6482635593220338;0,4779;1,1476;0,2266;0,3856;0,2496;0,9504;0,7141;0,9888;0,965;0,9849
3;23876;200061,70532737562;Po;0,9061786888003059;0,044;1199;23;0,33013624270871794;0,12017764804003338;0,8298227689741451;0,6466;1,4674;0,1382;0,6404;0,2966;0,911;0,5301;0,9966;0,9019;0,9819
4;46227;220907,08354902847;Po;1,5678204062983399;0,026;1199;23;0,3295108488131663;0,12027689741451209;0,9786086738949124;0,5805;1,0001;0,165;0,5014;0,2461;0,9223;0,7695;0,9946;0,9358;0,9861
5;46232;270468,2411846031;Po;1,734118226614387;0,024;865;17;0,2877803134097165;0,13250173410404625;0,9917672832369941;0,5901;1,0357;0,216;0,426;0,21;0,9057;0,7095;0,9891;0,9524;0,9882
6;14039;308347,71673388884;Po;1,5126556991899882;0,024;532;9;0,23476367491329936;0,1285714285714286;0,651434022556391;0,5106;0,8446;0,2358;0,457;0,1773;0,8446;0,5603;0,9728;0,855;0,982
7;41863;147714,4396594754;Rhine;0,8846601018160262;0,048;1550;22;0,09075870736432551;0,0699083870967742;0,3628466451612903;0,2879;0,58;0,0381;0,2459;0,0654;0,967;0,8663;0,9993;0,9723;0,998
8;41905;185542,2744992548;Rhine;1,6932209329750787;0,026;1768;25;0,10108661530568577;0,07197115384615385;0,33735164027149317;0,2996;0,3968;0,0718;0,212;0,0853;0,9674;0,9428;0,9981;0,9821;0,9972
9;41861;218037,67530584385;Rhine;1,4082809952716784;0,032;1879;27;0,10126716265076796;0,0739340074507717;0,3062283661522086;0,2774;0,4881;0,0461;0,1778;0,0795;0,9675;0,8994;0,999;0,9856;0,997
10;41931;255202,3656464955;Rhine;1,433323114322038;0,032;1925;28;0,1007780762743683;0,07441766233766235;0,26580036363636367;0,2722;0,4148;0,0327;0,1848;0,0737;0,9661;0,9212;0,9995;0,9836;0,9975
11;42213;310050,6355811434;Rhine;1,3579795116960758;0,034;2046;30;0,1038081286292091;0,07529521016617792;0,3137266373411535;0,2827;0,6267;0,0406;0,2107;0,0945;0,9639;0,8224;0,9992;0,9798;0,9959
12;41903;361011,36655822257;Rhine;1,3512689887129854;0,034;1947;30;0,10783437166409196;0,07734617360041089;0,38200051361068316;0,2717;0,4815;0,0554;0,2131;0,1041;0,9571;0,8653;0,9983;0,973;0,9939
13;41900;439615,0889590909;Rhine;0,8541485099317293;0,054;1483;24;0,11378116425615008;0,08638570465273096;0,4182855697909643;0,3684;0,5506;0,0874;0,3868;0,2061;0,9084;0,7971;0,9946;0,8976;0,9704
