;Unnamed: 0.1;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;0,0;46217;78287,03637738184;Po;1,4538227504469692;0,024;1069;22;0,3371647245456214;0,1089588400374181;0,3538023386342376;0,4543;0,9873;0,0979;0,3262;0,1803;0,9367;0,701;0,9976;0,9639;0,9909
1;1,0;46221;114018,01273358068;Po;0,6100742903611648;0,06;1510;22;0,3246340588740298;0,1242549668874172;0,6064292715231788;0,5527;0,9876;0,1179;0,5236;0,3123;0,9101;0,7128;0,9962;0,9097;0,9708
2;2,0;46225;171852,2804483872;Po;1,2502348203723193;0,032;1393;20;0,3095151320213919;0,1289798994974874;0,6664025843503231;0,4728;1,124;0,2241;0,3938;0,2594;0,946;0,6951;0,9873;0,9587;0,9808
3;3,0;23876;200061,7053273756;Po;0,8541582204490006;0,046;1509;22;0,3245929432581755;0,1242511597084161;0,8103751491053678;0,6751;1,3789;0,1324;0,6685;0,2875;0,893;0,523;0,9964;0,8795;0,9837
4;4,0;46227;220907,08354902847;Po;1,5469454223673875;0,026;1509;22;0,3234028659586386;0,1240941020543406;0,9578134526176276;0,5871;1,0323;0,1514;0,4913;0,2979;0,9168;0,7429;0,9949;0,9343;0,9775
5;5,0;46232;270468,2411846031;Po;1,3729952098053426;0,03;1183;22;0,2887836220912734;0,134178360101437;1,0494060016906168;0,6149;1,0422;0,1866;0,4495;0,2735;0,8927;0,6917;0,9911;0,9397;0,9782
6;6,0;14039;308347,71673388884;Po;1,607651469595507;0,024;686;8;0,2271121751457585;0,1266282798833819;0,6033233236151603;0,6213;0,8565;0,2135;0,4942;0,2655;0,784;0,578;0,9751;0,835;0,9592
7;7,0;41863;147714,4396594754;Rhine;0,9313545554122172;0,044;1869;28;0,0931854478909862;0,0684975922953451;0,3536452113429641;0,2979;0,6539;0,0421;0,2061;0,0699;0,9641;0,8269;0,9991;0,9798;0,9976
8;8,0;41905;185542,2744992548;Rhine;1,7653126445905698;0,024;2306;33;0,1009023361818495;0,0720147441457068;0,3566918039895924;0,3276;0,4458;0,0709;0,203;0,0873;0,9604;0,9267;0,9981;0,9829;0,997
9;9,0;41861;218037,67530584385;Rhine;1,352477955410459;0,032;2382;36;0,101849948578931;0,0739101595298069;0,3120164987405541;0,3189;0,4876;0,0486;0,1692;0,0858;0,9568;0,899;0,9989;0,9863;0,9964
10;10,0;41931;255202,3656464955;Rhine;1,3742719463361526;0,032;2442;40;0,1010367175359121;0,0744553644553644;0,2685831695331696;0,2855;0,4231;0,031;0,1758;0,0845;0,9622;0,917;0,9995;0,9842;0,9965
11;11,0;42213;310050,6355811434;Rhine;1,3002209197614785;0,034;2592;45;0,1044705380095251;0,0754243827160494;0,3130411651234568;0,3242;0,7139;0,0384;0,2086;0,0878;0,9515;0,765;0,9993;0,9786;0,9962
12;12,0;41903;361011,36655822257;Rhine;1,4668347475618004;0,03;2307;49;0,1079657254775429;0,0792028608582574;0,3562050281751192;0,2685;0,4878;0,056;0,1939;0,0988;0,9576;0,8601;0,9981;0,9768;0,9941
13;13,0;41900;439615,0889590909;Rhine;1,5767441890176943;0,028;1775;48;0,1169094583648997;0,0876383098591549;0,4085681690140845;0,2966;0,5668;0,0759;0,3026;0,2019;0,941;0,7854;0,9958;0,9432;0,9706
14;14,0;41899;448733,0573867012;Rhine;0,8533487225963807;0,052;1825;47;0,1068706176430426;0,0848569863013698;0,4146679452054794;0,3087;0,7157;0,0841;0,2798;0,1395;0,937;0,6612;0,9955;0,9437;0,987
15;15,0;41897;478239,2477053198;Rhine;1,2710293959440382;0,03;1068;32;0,1008158577095816;0,0765683520599251;0,2279764981273408;0,1529;0,416;0,0417;0,1143;0,1319;0,9622;0,7196;0,9973;0,979;0,9711
16;16,0;46148;499137,6826820462;Rhine;1,6882845772450268;0,024;1363;43;0,0993555325485558;0,0826859867938371;0,2375573000733676;0,1997;0,2527;0,0863;0,1716;0,0881;0,95;0,92;0,9917;0,9644;0,9913
17;17,0;41893;555161,3104702845;Rhine;0,8917956494485582;0,042;1612;38;0,1252098534235889;0,0812382133995037;0,2618356079404466;0,2416;0,3686;0,0526;0,1856;0,0769;0,9548;0,8947;0,9982;0,9723;0,996
18;18,0;41865;598357,646958985;Rhine;0,6737432709738146;0,056;1492;33;0,1264120439043405;0,0828914209115281;0,2912363941018767;0,293;0,5453;0,069;0,2498;0,078;0,933;0,768;0,9968;0,951;0,9956
19;19,0;41891;636723,4951453801;Rhine;1,2147533126860384;0,034;956;30;0,1452587239639283;0,0890690376569037;0,253852510460251;0,2278;0,3772;0,0601;0,1681;0,0901;0,9437;0,8457;0,9964;0,9702;0,9911
20;20,0;41927;228129,8234030728;Elbe;1,1675673150942487;0,026;1214;27;0,0770809105480621;0,0807289950576606;0,2519757825370675;0,1715;0,1653;0,039;0,1596;0,083;0,9825;0,9835;0,999;0,9834;0,9957
21;21,0;41925;312229,81276551547;Elbe;0,9154060165176636;0,036;1566;33;0,0780342590200848;0,0909348659003831;0,284120945083014;0,1532;0,6594;0,0611;0,1427;0,0504;0,9826;0,6786;0,9965;0,9826;0,9976
