;river;vs_id;x;y;vel_cval;c_cval;chain;min_rmse;mean_bias
0;Po;23874;12,127;45,0182;1,3834315758348643;0,022;28,550154201161906;0,418;0,2725426311623818
1;Po;46217;11,6419;44,8956;1,526422156488774;0,024;78,28703637738184;0,4321;0,2650975088688668
2;Po;46221;11,3018;45,0113;0,6853675400155521;0,056;114,01801273358068;0,4975;0,2649648670009753
3;Po;23875;11,1303;45,061;1,391374004071686;0,028;135,00099283851523;0,6537;0,2646457372775244
4;Po;46225;10,7682;45,0458;1,2578712691859142;0,032;171,8522804483872;0,4958;0,2648492410607049
5;Po;23876;10,6102;44,9217;1,2820650192594747;0,032;200,0617053273756;0,5033;0,2648607116673738
6;Po;46227;10,4228;44,9743;1,397366729093729;0,03;220,90708354902847;0,5447;0,2649848247847208
7;Po;46232;10,0032;45,1173;1,0221748448618944;0,042;270,4682411846031;0,552;0,2596535438855415
8;Po;14039;9,7289;45,0621;1,4586164142491438;0,026;308,34771673388883;0,5823;0,2476753070888062
9;Rhine;41899;7,7233;50,1131;0,845323157290163;0,052;365,1181869595438;0,3014;0,0965151369412686
10;Rhine;41864;7,6444;50,2689;1,6868581501620168;0,026;335,7193722052412;0,2897;0,0962258002981685
11;Rhine;41904;7,1106;50,7364;1,2951755417849593;0,034;260,2341364906536;0,2615;0,1025045305937939
12;Rhine;41905;6,6041;51,6472;1,6120978558439492;0,026;99,60153599437331;0,2868;0,0978796902877074
13;Rhine;41865;8,4505;49,324;1,0402515221752036;0,036;515,8324956375195;0,2669;0,0830153462784752
14;Rhine;41861;6,7221;51,4638;1,3331841527651975;0,032;132,39604944247236;0,2796;0,0963219773859195
15;Rhine;42213;6,9696;50,9495;1,2863551259272794;0,034;225,2511839621949;0,2652;0,1004815943246238
16;Rhine;41900;7,6803;50,1702;1,6813618874633014;0,026;355,92672286997475;0,3454;0,1093278574023714
17;Rhine;41862;6,4009;51,7553;1,4775517344701974;0,028;76,50503380477592;0,34;0,0965888316414211
18;Rhine;41903;7,2126;50,6159;1,4539231376104065;0,03;276,6651918007153;0,2697;0,1062244470474421
19;Rhine;38581;7,6012;50,3479;1,2247214424861603;0,036;325,3027617691137;0,2919;0,113390300262411
20;Rhine;41863;6,2448;51,8272;0,9201608389183348;0,044;61,41592027862461;0,2948;0,0940552211295741
21;Rhine;46148;8,2627;50,0168;1,6722101767738164;0,024;415,91160829686646;0,2096;0,0941320786721828
22;Rhine;46146;7,9329;49,9725;1,2848353872421778;0,028;389,4155381782886;0,1905;0,1036909454432953
23;Rhine;46147;8,0736;50,0133;1,0966579150329046;0,032;400,79250565179655;0,1604;0,0962719207965562
24;Rhine;41891;8,3056;49,0423;1,2804901964826318;0,032;554,4661707785417;0,2347;0,0884274844521961
25;Rhine;41892;8,4547;49,4824;1,3114629345353173;0,028;491,4501530996032;0,2633;0,0839754523861231
26;Rhine;41931;6,7681;51,2277;1,359196181222016;0,032;169,9033876430186;0,2592;0,0964158004438229
27;Rhine;41893;8,3784;49,6366;0,9202624135312932;0,04;472,3348547474076;0,2338;0,0873874479355671
28;Rhine;41897;8,0022;49,9892;1,2630726554639649;0,03;394,85682378483375;0,2035;0,0962719207965562
