;id;DS.chainage;river;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv;g_chain
0;46400;71393,94816044475;Ganges;1,508653555876167;0,024;766;12;0,27998240830636845;0,27413968668407307;0,7323271540469972;0,4859;0,5988;0,2806;0,4431;0,2649;0,4121;0,9767;0,9646;0,9911;0,9795;0,9919;0,9833;66171,74235
1;46397;81783,08898057723;Ganges;1,3652957036751616;0,026;767;12;0,27988861922136665;0,2741473272490222;0,977064146;0,4873;0,5974;0,4165;0,396;0,5258;0,4414;0,9726;0,9588;0,9795;0,98;0,966;0,9775;66171,74235
2;46395;91019,34388117172;Ganges;1,171724356;0,032;767;12;0,27988861922136665;0,27414732724902213;0,6221316818774446;0,427;0,601;0,2263;0,3609;0,2888;0,3631;0,9823;0,965;0,9943;0,9856;0,9906;0,9872;108597,80041484091
3;15695;101490,65101365767;Ganges;1,6912257929099854;0,024;767;12;0,27988861922136665;0,27414732724902213;0,5438319426336375;0,4567;0,6127;0,2;0,4281;0,2876;0,4029;0,9812;0,9659;0,9945;0,9818;0,9907;0,9854;108597,80041484091
4;15089;119179,03753493672;Ganges;1,4589649912911629;0,028;767;12;0,27988861922136665;0,27414732724902213;0,5035749674054758;0,4388;0,8215;0,18;0,3365;0,5969;0,4103;0,982;0,9362;0,9955;0,9881;0,9662;0,9842;108597,80041484091
5;46358;142084,87029692545;Ganges;1,8932237685387425;0,02;767;12;0,27988861922136665;0,27414732724902213;0,44064758800521514;0,434;0,4219;0,1723;0,3943;0,2291;0,4329;0,9831;0,984;0,9975;0,985;0,9956;0,9831;159398,73617556915
6;46351;167627,99690779916;Ganges;1,0910031707951324;0,034;767;12;0,27988861922136665;0,2741473272490222;0,518380443;0,32;0,4084;0,182;0,2781;0,2046;0,2921;0,988;0,9805;0,9962;0,9901;0,9952;0,99;159398,73617556915
7;15776;71612,14097833431;Mississippi;2,0861569037422365;0,022;1591;19;0,3016474431914201;0,097449403;0,8198285355122565;0,7045;0,8053;0,1963;0,6011;0,1212;0,7203;0,9262;0,9069;0,9929;0,9426;0,9978;0,9229;66476,85456
8;46323;88431,24203410133;Mississippi;2,0359028715518352;0,022;1591;19;0,3016474431914201;0,097449403;0,6888109365179134;0,5189;0,7828;0,1571;0,4557;0,1285;0,5263;0,9588;0,9061;0,9955;0,9656;0,9972;0,9576;79259,73929939308
9;36589;151098,53861604308;Mississippi;0,7728459947758823;0,056;1509;18;0,2963586629174136;0,096273028;0,4046173624917164;0,4555;0,8451;0,0599;0,3215;0,1117;0,4393;0,9722;0,9042;0,9995;0,9833;0,9983;0,9741;168045,10179931842
10;46320;157939,22547807146;Mississippi;1,3548101705104785;0,032;1499;18;0,29595147590019105;0,095506338;0,3911984656437625;0,4837;0,8177;0,0767;0,2594;0,0975;0,4687;0,9675;0,9072;0,9991;0,9897;0,9987;0,9695;168045,10179931842
11;46319;171376,22541169214;Mississippi;1,2593081798312107;0,034;1592;19;0,30187959153835514;0,097457286;0,429848744;0,5107;0,9925;0,0761;0,2814;0,0906;0,4929;0,9654;0,8694;0,9992;0,9886;0,9989;0,9678;168045,10179931842
12;38839;182563,3554250736;Mississippi;1,3286916516830747;0,032;1592;19;0,3018821215370724;0,097589196;0,42952355527638186;0,5571;1,0354;0,1105;0,3081;0,1313;0,5258;0,9602;0,8629;0,9984;0,9865;0,9979;0,9646;168045,10179931842
13;22886;36944,541852226415;Missouri;1,4440685116504586;0,028;1040;12;0,18261162519196325;0,10949326923076926;0,2868820192307692;0,4015;0,6351;0,0832;0,2761;0,1483;0,4117;0,9212;0,8074;0,9967;0,9582;0,9895;0,9172;41443,254629203635
14;19674;85733,62807;Missouri;1,2483344311846745;0,032;1368;15;0,19604293489475647;0,1104232456140351;0,333486769;0,4513;0,6399;0,0825;0,269;0,1098;0,4194;0,9069;0,8202;0,9971;0,9656;0,9952;0,9196;86590,52083520054
15;46345;99836,17324049988;Missouri;1,6639639654109504;0,024;2145;24;0,18874517137060987;0,10206013986013988;0,6766469930069929;0,417;0,7415;0,1075;0,3463;0,1003;0,403;0,9244;0,7611;0,9955;0,9424;0,9963;0,9295;101943,04508186293
16;46334;149182,7811175129;Missouri;1,2712157350019437;0,032;2859;32;0,18628418839209296;0,10075061210213361;0,9188806575725779;0,5017;0,8438;0,1928;0,4487;0,199;0,4813;0,9082;0,7404;0,9869;0,9204;0,986;0,9155;146576,3209643219
