;Unnamed: 0;id;DS.chainage;river;g_chain;velocity;c;num_of_all_meas;num_of_vs;mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;rmse_sv;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd;nse_sv
0;0;22886;36944,541852226415;Missouri;41443,25462920364;1,4440685116504586;0,028;1040;12;0,1826116251919632;0,1094932692307692;0,2868820192307692;0,4015;0,6351;0,0832;0,2761;0,1483;0,4117;0,9212;0,8074;0,9967;0,9582;0,9895;0,9172
1;1;19674;85733,62807;Missouri;86590,52083520054;1,2483344311846745;0,032;1368;15;0,1960429348947564;0,1104232456140351;0,333486769;0,4513;0,6399;0,0825;0,269;0,1098;0,4194;0,9069;0,8202;0,9971;0,9656;0,9952;0,9196
2;2;46345;99836,17324049988;Missouri;101943,04508186292;1,6639639654109504;0,024;2145;24;0,1887451713706098;0,1020601398601398;0,6766469930069929;0,417;0,7415;0,1075;0,3463;0,1003;0,403;0,9244;0,7611;0,9955;0,9424;0,9963;0,9295
3;3;46334;149182,7811175129;Missouri;146576,3209643219;1,2712157350019435;0,032;2859;32;0,1862841883920929;0,1007506121021336;0,918880658;0,5017;0,8438;0,1928;0,4487;0,199;0,4813;0,9082;0,7404;0,9869;0,9204;0,986;0,9155
4;4;45907;344969,4251936232;Missouri;340810,82550770364;0,9313526880368012;0,044;3302;38;0,1649688491772384;0,096594185;0,8648985160508783;0,4778;0,5836;0,1099;0,4663;0,1107;0,4862;0,8638;0,7968;0,9922;0,8555;0,9919;0,859
5;5;46329;440051,65229952266;Missouri;442445,73506536445;1,1571448346067978;0,036;1358;16;0,1467560356813308;0,088186303;0,323491679;0,2881;0,4133;0,0628;0,1946;0,1142;0,2825;0,9252;0,8462;0,9954;0,9625;0,9848;0,9281
6;6;36933;445847,6206251762;Missouri;442445,73506536445;1,156761539993961;0,036;1304;16;0,1409005785707817;0,087135736;0,3075562116564417;0,2653;0,4282;0,0769;0,1719;0,1311;0,2601;0,9348;0,8302;0,994;0,97;0,9835;0,9374
7;7;46337;491984,19095612864;Missouri;495638,9078122432;1,2231650250193196;0,034;2641;31;0,1363068246170132;0,098222643;0,6892554335478985;0,3262;0,5439;0,0927;0,3012;0,1082;0,3217;0,9096;0,7486;0,9897;0,9195;0,9864;0,9121
8;8;46336;549727,2737660359;Missouri;552706,9606654197;0,9659476806567044;0,044;2924;34;0,1275019078652383;0,1032541039671682;0,79191751;0,3901;0,3843;0,1187;0,383;0,0891;0,3712;0,8918;0,895;0,9894;0,8902;0,9947;0,9021
9;9;17455;574122,8593943592;Missouri;578830,5667843722;1,2556468972923596;0,034;2919;34;0,1223307638559674;0,1020568687906817;0,7970341555327167;0,2992;0,4327;0,1282;0,3;0,0996;0,3018;0,9317;0,8601;0,9854;0,9306;0,9932;0,9305
10;10;37033;597609,7943138188;Missouri;600753,8874206988;0,543460955;0,08;1505;18;0,1083032691600691;0,1065627906976744;0,4301827242524916;0,3149;0,4065;0,094;0,3427;0,1037;0,2985;0,9284;0,8837;0,9937;0,9088;0,9936;0,9357
11;11;46364;676335,8239674255;Missouri;679215,9151;1,70685316;0,026;1497;17;0,1076431586388308;0,1057047428189712;0,4111200400801604;0,2382;0,3838;0,0872;0,1827;0,1075;0,2494;0,9581;0,8913;0,9946;0,9769;0,9931;0,9541
12;12;46389;808489,8102460387;Missouri;813344,0354875049;1,4112990974040116;0,032;1223;16;0,1160854492074745;0,091495503;0,4806125102207685;0,3283;0,4292;0,0828;0,2976;0,0704;0,3369;0,9119;0,8496;0,9951;0,9295;0,997;0,9073
13;13;46372;858473,1267165269;Missouri;856014,5448399537;1,7410643468061155;0,026;636;10;0,1184957313941004;0,073694969;0,3378102201257862;0,2302;0,2558;0,0744;0,1646;0,0738;0,2171;0,9511;0,9397;0,9947;0,9785;0,9953;0,9565
14;14;38445;934917,9300921224;Missouri;933515,2398969078;1,627313812091169;0,026;1189;14;0,1768609731384761;0,096857023;0,6548806560134565;0,3744;0,289;0,167;0,3878;0,1573;0,3531;0,9067;0,9471;0,9825;0,9046;0,9861;0,917
15;15;46379;1060180,3068595242;Missouri;1056001,6197471092;0,5409529685531855;0,08;1533;19;0,1996321148820229;0,097882583;0,7355530984996738;0,4412;0,5897;0,0996;0,4631;0,0749;0,4355;0,8255;0,6882;0,9898;0,8048;0,995;0,83
16;16;37301;1119818,2373035783;Missouri;1120512,1219411085;1,7652482802935383;0,024;1341;17;0,2089496144542319;0,094147651;0,7405973900074572;0,3641;0,4927;0,165;0,3589;0,109;0,3762;0,8745;0,7702;0,9769;0,8707;0,9901;0,866
17;17;23874;28550,154201161906;Po;25400,81034;1,3834315758348643;0,022;609;7;0,2725426311623818;0,090722496;0,1970771756978653;0,4512;0,5792;0,0839;0,3268;0,2387;0,418;0,7697;0,6204;0,9927;0,8725;0,9377;0,8024
18;18;46217;78287,03637738184;Po;81275,21006657004;1,526422156488774;0,024;1817;21;0,2650975088688668;0,1236780407264722;0,6405036323610347;0,4041;0,9317;0,1086;0,3404;0,1718;0,4321;0,9513;0,7412;0,997;0,9635;0,992;0,9443
19;19;46221;114018,01273358068;Po;115084,1581392229;0,6853675400155521;0,056;1945;23;0,2649648670009753;0,1288221079691517;0,6426320822622109;0,5406;0,9515;0,1196;0,4937;0,2993;0,4975;0,9175;0,7443;0,9962;0,9228;0,9744;0,9301
20;20;23875;135000,99283851523;Po;134309,6891643376;1,391374004071686;0,028;1945;23;0,2646457372775244;0,128426735;0,6324927506426734;0,654;0,9722;0,1332;0,6268;0,5026;0,6537;0,8805;0,735;0,9954;0,8835;0,924;0,8806
21;21;46225;171852,2804483872;Po;172828,74668770397;1,2578712691859142;0,032;1948;23;0,2648492410607049;0,1285790554414784;0,7399435318275154;0,5471;1,0551;0,2213;0,4767;0,2391;0,4958;0,9284;0,7336;0,9876;0,9415;0,9838;0,9412
22;22;23876;200061,7053273756;Po;204905,61140669507;1,2820650192594747;0,032;1947;23;0,2648607116673738;0,12857319;0,8465910118130456;0,5618;1,117;0,1943;0,4977;0,2653;0,5033;0,9248;0,6986;0,9915;0,9324;0,9841;0,9397
23;23;46227;220907,08354902847;Po;221240,6627062469;1,397366729093729;0,03;1947;23;0,2649848247847208;0,1285824345146379;0,984095686;0,5858;0,9727;0,144;0,5004;0,2734;0,5447;0,917;0,7712;0,9953;0,9328;0,9809;0,9283
24;24;46232;270468,2411846031;Po;271938,1697385676;1,0221748448618944;0,042;1421;17;0,2596535438855415;0,1434095707248416;0,9827745249824066;0,5554;1,0028;0,1677;0,3979;0,2524;0,552;0,9149;0,7225;0,9931;0,9529;0,9829;0,9159
25;25;14039;308347,71673388884;Po;310358,9652089248;1,4586164142491438;0,026;858;9;0,2476753070888062;0,1299289044289044;0,5981250582750582;0,582;0,8009;0,215;0,4684;0,247;0,5823;0,8053;0,6233;0,9738;0,8497;0,9644;0,8051
