;id;x;y;all_vs_meas;swot_meas;river;rmse
0;42320;12,2359;45,0068;63;63;Po;0,2941
1;23874;12,127;45,0182;85;57;Po;0,1993
2;4116;12,0689;44,9784;87;87;Po;0,3749
3;38574;12,0336;44,9752;104;74;Po;0,4705
4;10369;11,9347;44,9762;81;81;Po;0,4364
5;16896;11,697;44,9203;109;83;Po;0,3377
6;46217;11,6419;44,8956;80;80;Po;0,3048
7;10362;11,5502;44,93;107;80;Po;0,5412
8;1076;11,3625;44,9822;82;82;Po;0,3439
9;46221;11,3018;45,0113;84;84;Po;0,3328
10;1137;11,2337;45,0438;86;86;Po;0,3182
11;19863;11,1794;45,0512;22;0;Po;0,3008
12;23875;11,1303;45,061;103;83;Po;0,3567
13;10361;10,9737;45,0682;117;64;Po;0,3263
14;46225;10,7682;45,0458;84;84;Po;0,333
15;16523;10,7191;45,0501;30;0;Po;0,4704
16;46226;10,6997;44,9991;78;78;Po;0,4617
17;23876;10,6102;44,9217;98;68;Po;0,3864
18;10368;10,4779;44,9356;70;70;Po;0,4403
19;46227;10,4228;44,9743;71;71;Po;0,3584
20;46228;10,3251;44,9834;79;79;Po;0,562
21;19864;10,2622;45,0046;25;0;Po;0,3532
22;38575;10,1891;45,0369;86;62;Po;0,3579
23;46230;10,0511;45,0376;70;70;Po;0,4288
24;46232;10,0032;45,1173;77;77;Po;0,3734
25;46233;9,9328;45,1047;52;52;Po;0,4108
26;10367;9,7983;45,0771;58;58;Po;0,6344
27;16149;9,7558;45,109;29;0;Po;0,5104
28;14039;9,7289;45,0621;90;61;Po;0,2871
29;46237;9,6152;45,1134;67;67;Po;0,3619
30;46241;9,4998;45,1007;71;71;Po;0,3922
31;19865;9,285;45,124;113;90;Po;0,3012
32;13121;9,2841;45,1239;26;0;Po;0,3234
33;10365;9,1467;45,1181;89;89;Po;0,4192
34;46247;9,0375;45,0829;98;98;Po;0,4832
35;46248;8,9256;45,0653;94;94;Po;0,2502
36;18853;8,8453;45,0454;178;88;Po;0,2221
37;1829;8,8375;45,0424;82;0;Po;0,4463
38;23877;8,7737;45,0101;30;0;Po;0,6604
39;38576;8,3628;45,1558;112;99;Po;0,4604
40;38577;8,3374;45,1471;18;0;Po;0,3372
41;38582;5,487;51,8888;29;0;Rhine;0,7039
42;38583;5,6078;51,8981;30;0;Rhine;0,4757
43;13586;6,0588;51,8674;138;128;Rhine;0,183
44;41863;6,2448;51,8272;68;68;Rhine;0,0881
45;42229;6,3222;51,7849;76;76;Rhine;0,1616
46;41862;6,4009;51,7553;77;77;Rhine;0,1343
47;13585;6,45;51,7062;14;0;Rhine;0,9829
48;13584;6,5271;51,662;26;0;Rhine;0,3265
49;41905;6,6041;51,6472;101;101;Rhine;0,1073
50;42230;6,5974;51,5972;102;102;Rhine;0,1065
51;42231;6,6792;51,549;101;101;Rhine;0,0907
52;41861;6,7221;51,4638;101;101;Rhine;0,0878
53;42232;6,7447;51,399;102;102;Rhine;0,0885
54;13345;6,675;51,345;127;102;Rhine;0,1473
55;14546;6,7121;51,2854;121;102;Rhine;0,0972
56;13344;6,7101;51,2633;23;0;Rhine;0,1989
57;13593;6,7118;51,262;19;0;Rhine;0,4247
58;41931;6,7681;51,2277;102;102;Rhine;0,0882
59;13592;6,7511;51,181;121;101;Rhine;0,1045
60;41860;6,8501;51,1447;102;102;Rhine;0,104
61;42212;6,8662;51,0934;99;99;Rhine;0,1146
62;41858;6,9288;51,0496;78;78;Rhine;0,0892
63;42213;6,9696;50,9495;51;51;Rhine;0,1112
64;15886;7,003;50,8951;77;51;Rhine;0,1869
65;42250;6,9806;50,8325;72;51;Rhine;0,3553
66;41904;7,1106;50,7364;73;73;Rhine;0,0937
67;42253;7,1878;50,6739;73;73;Rhine;0,099
68;41903;7,2126;50,6159;93;93;Rhine;0,0905
69;13594;7,3022;50,5129;119;94;Rhine;0,1872
70;42254;7,3437;50,4771;97;97;Rhine;0,1385
71;42255;7,5437;50,4207;72;72;Rhine;0,1697
72;16150;7,569;50,4119;27;0;Rhine;0,3386
73;46145;7,592;50,3974;69;69;Rhine;0,0644
74;38581;7,6012;50,3479;90;67;Rhine;0,1387
75;16151;7,6262;50,2802;30;0;Rhine;0,2831
76;41864;7,6444;50,2689;69;69;Rhine;0,0848
77;16287;7,6519;50,2549;29;0;Rhine;0,323
78;16286;7,6449;50,2481;30;0;Rhine;0,2864
79;16285;7,6317;50,2104;25;0;Rhine;0,5109
80;41900;7,6803;50,1702;116;64;Rhine;0,2164
81;23925;7,6807;50,17;29;0;Rhine;0,2925
82;41899;7,7233;50,1131;48;48;Rhine;0,1817
83;42970;7,8211;50,028;27;27;Rhine;0,3198
84;46146;7,9329;49,9725;23;23;Rhine;0,0894
85;13595;8,0015;49,9885;30;0;Rhine;0,1623
86;13390;8,0023;49,9887;28;0;Rhine;0,1095
87;41897;8,0022;49,9892;77;47;Rhine;0,1431
88;46147;8,0736;50,0133;48;48;Rhine;0,0659
89;41539;8,1615;50,0314;92;92;Rhine;0,0936
90;14883;8,2071;50,038;27;0;Rhine;0,135
91;13654;8,237;50,0345;55;0;Rhine;0,2336
92;46148;8,2627;50,0168;97;97;Rhine;0,0744
93;41896;8,3333;49,9626;98;98;Rhine;0,0983
94;41895;8,3563;49,8648;94;94;Rhine;0,0976
95;16649;8,391;49,8121;110;98;Rhine;0,1214
96;42256;8,4423;49,726;100;100;Rhine;0,1037
97;14884;8,357;49,6916;30;0;Rhine;0,1714
98;41893;8,3784;49,6366;88;88;Rhine;0,0767
99;42257;8,4239;49,5753;94;94;Rhine;0,0848
100;41892;8,4547;49,4824;89;89;Rhine;0,1059
101;13655;8,4576;49,4637;17;0;Rhine;0,3135
102;19876;8,4996;49,373;120;90;Rhine;0,1328
103;41865;8,4505;49,324;69;69;Rhine;0,0941
104;42258;8,4406;49,2628;67;67;Rhine;0,1008
105;41956;8,3714;49,1732;69;69;Rhine;0,0947
106;41891;8,3056;49,0423;68;68;Rhine;0,0961
107;16152;8,2075;48,961;132;107;Rhine;0,1874
108;46151;8,1334;48,8828;90;90;Rhine;0,1249
109;13618;10,5352;53,3697;16;0;Elbe;0,3144
110;41928;10,5567;53,368;88;88;Elbe;0,134
111;42210;10,6659;53,3673;87;87;Elbe;0,2652
112;42209;10,7557;53,294;65;65;Elbe;0,0899
113;41927;10,8878;53,2368;120;72;Elbe;0,0905
114;42207;11,0069;53,1837;83;83;Elbe;0,0544
115;42206;11,0911;53,1385;71;71;Elbe;0,0823
116;45844;11,1774;53,1512;67;67;Elbe;0,121
117;13619;11,3187;53,0698;89;65;Elbe;0,1045
118;13620;11,4495;53,0783;25;0;Elbe;0,1622
119;41926;11,4557;53,0772;82;82;Elbe;0,0747
120;45845;11,6026;53,0375;81;81;Elbe;0,0748
121;41942;11,6768;53,0073;76;76;Elbe;0,0503
122;13621;11,7484;52,988;19;0;Elbe;0,2723
123;41925;11,7579;52,9852;56;56;Elbe;0,055
124;13625;11,8778;52,9055;28;0;Elbe;0,2038
125;42205;11,9296;52,8914;77;77;Elbe;0,1887
126;41856;12,0172;52,8733;104;81;Elbe;0,1493
127;41855;12,0299;52,8246;85;85;Elbe;0,0905
128;41854;12,0256;52,6991;91;91;Elbe;0,0999
129;41857;11,9805;52,5406;92;92;Elbe;0,1026
130;13627;11,9772;52,5033;24;0;Elbe;0,1782
131;42211;11,9926;52,4327;88;88;Elbe;0,124
132;13628;11,9081;52,3624;99;88;Elbe;0,0876
133;21968;11,8182;52,3334;23;0;Elbe;0,096
134;41881;11,7678;52,312;66;66;Elbe;0,0698
135;13626;11,703;52,2439;86;46;Elbe;0,1676
136;42243;11,637;52,1216;38;38;Elbe;0,1732
137;41882;11,7342;52,0264;71;71;Elbe;0,0647
138;13623;11,7432;52,023;20;0;Elbe;0,1147
139;42242;11,8871;52,0146;70;70;Elbe;0,0925
140;1327;11,9505;51,9324;66;66;Elbe;0,0611
141;13630;12,046;51,8594;22;0;Elbe;0,1195
142;41883;12,0658;51,8604;79;79;Elbe;0,085
143;13633;12,1392;51,8724;24;0;Elbe;0,4083
144;13632;12,1802;51,8755;65;0;Elbe;0,3154
145;1328;12,1988;51,8649;64;0;Elbe;0,2714
146;42241;12,2813;51,8743;68;68;Elbe;0,132
147;42240;12,4097;51,8683;67;67;Elbe;0,1441
148;13635;12,5118;51,8593;73;50;Elbe;0,2754
149;41945;12,5862;51,8566;65;65;Elbe;0,0921
150;13634;12,6008;51,8596;24;0;Elbe;0,0918
151;42239;12,7412;51,8424;82;82;Elbe;0,0926
152;41885;12,8249;51,826;87;87;Elbe;0,0822
153;42238;12,8412;51,6816;91;91;Elbe;0,172
154;42228;12,9592;51,6287;107;83;Elbe;0,1163
155;1329;12,9989;51,6178;66;0;Elbe;0,1476
156;13649;12,9993;51,6163;51;0;Elbe;0,1397
157;41918;13,0126;51,555;76;76;Elbe;0,0756
158;13650;13,1548;51,491;97;86;Elbe;0,1591
159;1330;13,1847;51,4901;68;68;Elbe;0,1625
160;13651;13,2914;51,3382;16;0;Elbe;0,0961
161;41886;13,2956;51,3107;59;59;Elbe;0,1294
162;42227;13,4046;51,2452;48;48;Elbe;0,0745
163;42226;13,4923;51,1472;26;26;Elbe;0,0375
164;13652;13,6465;51,0958;69;50;Elbe;0,1199
165;41887;13,7356;51,057;58;58;Elbe;0,0991
166;21969;13,8313;51,036;95;73;Elbe;0,1716
167;13653;14,0507;50,9577;16;0;Elbe;0,8651
168;42225;14,0842;50,9212;85;85;Elbe;0,0876
169;41888;14,2368;50,8788;78;78;Elbe;0,0971
170;45964;14,2256;50,8128;80;80;Elbe;0,1013
171;45965;14,1823;50,7353;74;74;Elbe;0,1501
172;45966;14,113;50,6694;65;65;Elbe;0,1482
173;18750;14,2851;53,0172;22;0;Oder;0,4513
174;42218;14,2199;52,9895;73;73;Oder;0,1775
175;42217;14,1455;52,9266;72;72;Oder;0,0565
176;42216;14,1275;52,85;68;68;Oder;0,0543
177;42215;14,2162;52,8166;43;43;Oder;0,0698
178;42214;14,309;52,765;68;68;Oder;0,0633
179;23403;14,4109;52,7041;19;0;Oder;0,2761
180;41520;14,4248;52,6949;63;0;Oder;0,1923
181;41869;14,4347;52,6804;84;84;Oder;0,0634
182;18751;14,4527;52,678;22;0;Oder;0,1392
183;42221;14,5351;52,634;88;88;Oder;0,1138
184;959;14,6161;52,5547;87;87;Oder;0,2176
185;42222;14,6098;52,4655;85;85;Oder;0,0966
186;13659;14,5737;52,4402;108;87;Oder;0,1297
187;41866;14,5531;52,3598;78;78;Oder;0,1234
188;42223;14,5793;52,3124;79;79;Oder;0,0768
189;13660;14,6561;52,2628;22;0;Oder;0,0831
190;13661;14,6649;52,2611;131;84;Oder;0,1065
191;18752;14,6877;52,199;100;82;Oder;0,1123
192;41868;14,6894;52,1523;82;82;Oder;0,0986
