;Unnamed: 0;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;0;1330;632210.1794446288;0.8333333333333334;311;7;0.1074054780747192;0.118002444987775;0.0934692677403496;0.1390996784565916;0.276;0.266;0.332;0.34;0.258;0.363;0.26;0.34;0.944;0.947;0.918;0.914;0.95;0.902;0.95;0.914;13.1847;51.4901
1;1;16651;157382.63903749455;0.8333333333333334;76;9;0.921;0.87;0.921;0.921;;;;;-9.124;-8.028;-9.132;-9.132;;;;;;;;;10.0968;53.441
2;2;21968;413319.1248585291;0.8333333333333334;797;13;0.387;0.412;0.456;0.52;;;;;0.891;0.877;0.849;0.804;;;;;;;;;11.8182;52.3334
3;3;21969;720776.3076710072;0.8333333333333334;232;4;0.1474301511809547;0.1376041666666666;0.1098167719495059;0.1868103448275862;0.438;0.449;0.44;0.494;0.368;0.399;0.346;0.494;0.797;0.786;0.795;0.741;0.905;0.889;0.917;0.741;13.8313;51.036
4;4;27218;134992.89525520947;0.8333333333333334;390;9;1.2122388026442477;0.0881766055045871;1.2537106640646127;0.0884282051282051;1.183;1.714;1.336;1.197;1.368;1.733;1.371;1.197;-15.544;-33.742;-20.11;-15.951;-14.265;-23.511;-14.34;-15.951;9.8657;53.5432
5;5;38476;179095.63426971782;0.8333333333333334;860;9;0.87;0.914;0.238;0.244;;;;;-7.601;-8.486;0.357;0.324;;;;;;;;;10.3412;53.4248
6;6;41854;361163.36124114966;0.8333333333333334;494;12;0.1091048524525876;0.1112413793103448;0.0969482506936051;0.1220242914979757;0.264;0.305;0.283;0.254;0.2;0.239;0.216;0.254;0.958;0.943;0.951;0.961;0.976;0.965;0.972;0.961;12.0256;52.6991
7;7;41855;346434.46845029754;0.8333333333333334;501;11;0.1021129028733602;0.1036996996996997;0.0925192444722771;0.113313373253493;0.239;0.251;0.217;0.223;0.18;0.238;0.173;0.223;0.957;0.953;0.965;0.963;0.976;0.958;0.978;0.963;12.0299;52.8246
8;8;41856;340019.0643123241;0.8333333333333334;529;11;0.1056642190040042;0.0871632124352331;0.0830163143639948;0.1027977315689981;0.245;0.25;0.243;0.329;0.202;0.274;0.164;0.329;0.943;0.94;0.944;0.897;0.969;0.944;0.98;0.897;12.0172;52.8733
9;9;41857;379521.5979967913;0.8333333333333334;487;12;0.1073689570659867;0.1076400580551524;0.094251657920035;0.1170841889117043;0.252;0.27;0.285;0.234;0.196;0.261;0.194;0.234;0.964;0.959;0.954;0.969;0.978;0.962;0.979;0.969;11.9805;52.5406
10;10;41881;417907.9580506426;0.8333333333333334;430;13;0.1386050147515908;0.1016318347509113;0.0947626458963716;0.1151627906976744;0.284;0.316;0.351;0.269;0.28;0.294;0.256;0.269;0.949;0.937;0.922;0.954;0.95;0.945;0.958;0.954;11.7678;52.312
