;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;1330;632210.1794446288;0.8333333333333334;306;8;0.09477181172160282;0.13262571428571426;0.08465772173070817;0.14490196078431375;0.276;0.307;0.281;0.333;0.258;0.339;0.257;0.334;0.943;0.93;0.941;0.917;0.95;0.915;0.951;0.917;13.1847;51.4901
1;16651;157382.63903749455;0.8333333333333334;18;9;0.858071150097466;0.09155555555555556;;;0.965;0.727;1.027;1.027;;;;;-4.732;-2.251;-6.07;-6.07;;;;;10.0968;53.441
2;21968;413319.1248585291;0.8333333333333334;544;13;0.13648997487882417;0.1099466911764706;;;0.569;0.566;0.72;0.626;;;;;0.827;0.829;0.723;0.791;;;;;11.8182;52.3334
3;21969;720776.3076710072;0.8333333333333334;185;4;0.12935705578565104;0.17422685185185185;0.09005915090957028;0.19643243243243244;0.439;0.467;0.453;0.376;0.337;0.461;0.318;0.376;0.866;0.848;0.857;0.901;0.921;0.852;0.93;0.901;13.8313;51.036
4;27218;134992.89525520947;0.8333333333333334;110;9;1.2224403562214337;0.142328125;1.2849036486998286;0.1506363636363636;1.254;1.669;1.335;1.567;1.275;1.49;1.321;1.568;-9.173;-17.014;-10.985;-15.504;-9.517;-13.351;-10.709;-15.511;9.8657;53.5432
5;38476;179095.63426971782;0.8333333333333334;495;9;0.10030829586853271;0.07548282828282829;;;0.969;1.098;0.328;0.332;;;;;-4.951;-6.633;0.312;0.299;;;;;10.3412;53.4248
6;41854;361163.36124114966;0.8333333333333334;449;12;0.11016566821495258;0.12029541284403668;0.1011101688827108;0.12527839643652564;0.283;0.266;0.348;0.21;0.202;0.234;0.207;0.21;0.951;0.957;0.926;0.973;0.975;0.967;0.974;0.973;12.0256;52.6991
7;41855;346434.46845029754;0.8333333333333334;458;11;0.10885937334388976;0.11533085501858736;0.1017527413899075;0.12034934497816596;0.258;0.236;0.261;0.185;0.188;0.232;0.168;0.185;0.95;0.959;0.949;0.975;0.974;0.96;0.979;0.974;12.0299;52.8246
8;41856;340019.0643123241;0.8333333333333334;493;11;0.10510935804802204;0.1047787162162162;0.09422219344208668;0.11150101419878297;0.251;0.252;0.259;0.228;0.187;0.231;0.176;0.228;0.953;0.953;0.95;0.961;0.974;0.96;0.977;0.961;12.0172;52.8733
9;41857;379521.5979967913;0.8333333333333334;433;12;0.10933712186174019;0.11463327032136109;0.09974100088203774;0.11854503464203235;0.268;0.235;0.367;0.198;0.2;0.271;0.199;0.198;0.96;0.969;0.924;0.978;0.978;0.959;0.978;0.978;11.9805;52.5406
10;41881;417907.9580506426;0.8333333333333334;389;13;0.1336461762756353;0.11381551724137932;0.09734001154495661;0.11861182519280206;0.268;0.291;0.289;0.263;0.273;0.298;0.253;0.263;0.954;0.946;0.947;0.956;0.953;0.944;0.959;0.956;11.7678;52.312
11;41882;455295.5836026555;0.8333333333333334;365;13;0.13050556908158306;0.10981818181818183;0.0910220984113003;0.11978082191780824;0.281;0.276;0.308;0.249;0.22;0.265;0.205;0.25;0.95;0.952;0.94;0.961;0.969;0.955;0.973;0.96;11.7342;52.0264
12;41883;493744.503003618;0.8333333333333334;407;11;0.12464878172558065;0.11860526315789474;0.08745192099729421;0.1317936117936118;0.266;0.262;0.288;0.247;0.208;0.255;0.205;0.248;0.956;0.957;0.948;0.962;0.973;0.96;0.974;0.962;12.0658;51.8604
13;41885;567037.826478596;0.8333333333333334;430;10;0.0852141441275293;0.12193761140819964;0.07586063525774389;0.13395348837209303;0.242;0.219;0.239;0.197;0.264;0.273;0.218;0.197;0.963;0.97;0.964;0.976;0.956;0.953;0.97;0.976;12.8249;51.826
14;41886;659951.2528664558;0.8333333333333334;318;8;0.10858045952731171;0.1474120879120879;0.08333437019370556;0.15971698113207547;0.393;0.462;0.399;0.422;0.246;0.386;0.261;0.422;0.884;0.839;0.88;0.866;0.954;0.887;0.949;0.865;13.2956;51.3107
15;41887;712074.4162252684;0.8333333333333334;233;5;0.12316668766063968;0.17554166666666668;0.09129493296054816;0.19334763948497852;0.39;0.459;0.369;0.319;0.292;0.463;0.279;0.32;0.885;0.841;0.897;0.923;0.936;0.838;0.941;0.923;13.7356;51.057
16;41888;765334.820245521;0.8333333333333334;62;1;0.08595896057347592;0.20016129032258065;0.08595896057347592;0.20016129032258065;0.313;0.43;0.313;0.313;0.313;0.43;0.313;0.313;0.932;0.871;0.932;0.932;0.932;0.871;0.932;0.932;14.2368;50.8788
17;41918;613135.4362074754;0.8333333333333334;377;9;0.07834997827955058;0.1360461165048544;0.07617456518357817;0.14058355437665782;0.379;0.377;0.356;0.24;0.353;0.368;0.317;0.24;0.921;0.922;0.931;0.969;0.932;0.926;0.945;0.968;13.0126;51.555
18;41925;312229.81276551547;0.8333333333333334;506;11;0.09332581666014385;0.10438474870017332;0.08556152411735504;0.10861660079051386;0.321;0.305;0.332;0.736;0.326;0.337;0.345;0.737;0.939;0.945;0.934;0.677;0.937;0.932;0.929;0.676;11.7579;52.9852
19;41926;281042.7683610111;0.8333333333333334;489;12;0.08903749599027644;0.10142857142857144;0.07716612572648625;0.10169734151329245;0.314;0.317;0.314;0.201;0.266;0.246;0.284;0.201;0.941;0.94;0.941;0.976;0.958;0.964;0.952;0.976;11.4557;53.0772
20;41927;228129.8234030728;0.8333333333333334;388;11;0.0733039359476382;0.07820790020790022;0.05621106371069636;0.08288659793814435;0.195;0.168;0.204;0.141;0.189;0.232;0.227;0.141;0.981;0.986;0.979;0.99;0.982;0.973;0.974;0.99;10.8878;53.2368
21;41928;195413.0843143927;0.8333333333333334;474;10;0.0942620378846308;0.07569927536231884;0.09004935227852899;0.08088607594936711;0.461;0.45;0.232;0.162;0.416;0.399;0.227;0.162;0.758;0.77;0.938;0.97;0.805;0.821;0.941;0.97;10.5567;53.368
22;41942;303608.7990441309;0.8333333333333334;496;12;0.09571534614049593;0.10311867364746946;0.08248132105565485;0.10483870967741939;0.324;0.292;0.331;0.204;0.303;0.319;0.289;0.204;0.937;0.949;0.935;0.975;0.945;0.939;0.95;0.975;11.6768;53.0073
23;41949;147714.43054619935;0.8333333333333334;72;10;1.1475042441562406;0.15986666666666663;1.2230085295628774;0.17694444444444443;1.262;1.657;1.305;1.267;1.271;1.463;1.268;1.268;-9.283;-16.725;-10.423;-9.78;-9.434;-12.828;-9.778;-9.778;9.9763;53.4772
24;42205;333167.70570417977;0.8333333333333334;552;12;0.10420824491286833;0.10396159754224271;0.09434005675397814;0.10981884057971016;0.253;0.263;0.258;0.266;0.18;0.24;0.172;0.266;0.952;0.949;0.95;0.947;0.976;0.957;0.978;0.947;11.9296;52.8914
