;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;959;208081.39475855266;0.8333333333333334;659;13;0.13078325770997976;0.10983481575603557;0.12076714845482861;0.12233687405159333;0.137;0.141;0.161;0.152;0.148;0.145;0.146;0.152;0.977;0.976;0.968;0.972;0.973;0.974;0.974;0.972;14.6161;52.5547
1;13659;223846.92951943702;0.8333333333333334;532;12;0.13346386343108052;0.1072764705882353;0.1206245088900847;0.12453007518796992;0.179;0.153;0.186;0.153;0.143;0.159;0.155;0.153;0.962;0.972;0.959;0.972;0.975;0.969;0.971;0.972;14.5711;52.4399
2;13660;250366.91107099914;0.8333333333333334;601;11;0.13077071660094733;0.10408319467554077;;;;;;;;;;;;;;;;;;;14.6561;52.2628
3;13661;251006.64847046116;0.8333333333333334;451;10;0.13077071660094733;0.10661749571183535;0.11752270339961189;0.12221729490022173;0.164;0.124;0.17;0.124;0.161;0.145;0.169;0.124;0.965;0.98;0.963;0.98;0.966;0.972;0.962;0.98;14.6649;52.2611
4;18750;130958.81240699436;0.8333333333333334;691;14;0.16079448000309748;0.08090448625180897;;;0.307;0.263;0.378;0.358;;;;;0.922;0.943;0.882;0.894;;;;;14.2851;53.0172
5;18751;188022.5155181302;0.8333333333333334;799;14;0.12810398726638023;0.10526533166458073;;;0.39;0.338;0.398;0.252;;;;;0.864;0.898;0.858;0.943;;;;;14.4527;52.678
6;18752;260696.01117085537;0.8333333333333334;390;9;0.13383226561695447;0.11004752066115704;0.12194703247604662;0.12274358974358976;0.176;0.151;0.184;0.141;0.161;0.157;0.166;0.14;0.96;0.97;0.956;0.974;0.965;0.967;0.964;0.974;14.6877;52.199
7;18753;277374.70378834725;0.8333333333333334;404;8;0.13971532613436977;0.10113118811881187;;;0.214;0.2;0.247;0.341;;;;;0.95;0.956;0.933;0.872;;;;;14.7464;52.0802
8;18754;442267.34464859427;0.8333333333333334;235;4;0.2422543415741757;0.17505211726384365;0.2393258887974035;0.21408510638297873;0.312;0.305;0.317;0.323;0.359;0.366;0.379;0.323;0.875;0.88;0.871;0.865;0.834;0.827;0.815;0.865;16.2547;51.6802
9;19763;341012.44422732375;0.8333333333333334;232;7;0.11097047343195975;0.0934538043478261;0.08958130698011411;0.1181034482758621;0.195;0.201;0.204;0.157;0.182;0.219;0.184;0.157;0.948;0.945;0.943;0.966;0.954;0.934;0.953;0.966;15.493;52.0442
10;23402;82980.27468996237;0.8333333333333334;413;10;0.21121686043728255;0.08315178571428572;0.2072378764126027;0.085544794188862;0.538;0.85;0.234;0.285;0.599;0.829;0.251;0.285;-1.456;-5.123;0.536;0.311;-1.981;-4.71;0.475;0.311;14.5813;53.3638
11;23403;183650.3907473783;0.8333333333333334;870;16;0.13565149950083577;0.09575057471264367;;;0.446;0.446;0.57;0.602;;;;;0.808;0.808;0.686;0.65;;;;;14.4109;52.7041
