;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr
0;14884;548711.5927425973;0.8333333333333334;1414;11;0.633;1.409;0.655;0.637;;;;;0.638;-0.791;0.614;0.634;;;;;;;;
1;15886;317140.0891093836;0.8333333333333334;771;10;0.161837895441751;0.11957484407484407;0.14887970843434645;0.11756160830090794;0.589;0.682;0.602;0.722;0.54;0.727;0.578;0.722;0.8;0.732;0.791;0.7;0.838;0.706;0.814;0.7
2;16150;400652.49490120064;0.8333333333333334;1387;17;0.494;0.54;0.573;0.784;;;;;0.817;0.781;0.754;0.538;;;;;;;;
3;16151;417765.91207920026;0.8333333333333334;1197;15;0.422;0.415;0.529;0.742;;;;;0.863;0.867;0.785;0.577;;;;;;;;
4;16152;649205.1974153378;0.8333333333333334;587;4;0.23381793697780062;0.08135958395245171;0.2171022901325569;0.07931856899488926;0.448;0.601;0.5;0.48;0.426;0.526;0.479;0.48;0.025;-0.758;-0.218;-0.123;0.276;-0.102;0.085;-0.123
5;16285;433036.19228406413;0.8333333333333334;1272;13;0.408;0.441;0.481;0.916;;;;;0.864;0.84;0.811;0.312;;;;;;;;
6;16286;422203.6339803607;0.8333333333333334;1137;13;0.42;0.451;0.534;0.711;;;;;0.855;0.833;0.766;0.584;;;;;;;;
7;16287;421289.33856311283;0.8333333333333334;1175;14;0.419;0.429;0.502;0.626;;;;;0.855;0.849;0.793;0.677;;;;;;;;
8;16649;526246.4921307832;0.8333333333333334;1478;11;0.067226189896031;0.0623636926889715;0.06043969020768749;0.06361299052774019;0.347;0.412;0.363;0.443;0.305;0.349;0.29;0.443;0.888;0.842;0.878;0.818;0.922;0.898;0.93;0.818
9;16650;693868.1678564695;0.8333333333333334;449;5;0.357;0.368;0.332;0.47;;;;;0.418;0.384;0.496;-0.005;;;;;;;;
10;18867;757851.3871272242;0.8333333333333334;193;3;0.604;0.583;0.622;0.654;;;;;-0.017;0.053;-0.078;-0.194;;;;;;;;
11;19876;591550.2427100627;0.8333333333333334;1126;7;0.10417794492648062;0.06960145513338724;0.09390210467563995;0.07190941385435169;0.389;0.427;0.38;0.479;0.269;0.394;0.281;0.479;0.861;0.833;0.868;0.79;0.939;0.869;0.933;0.79
12;23925;439645.22401554993;0.8333333333333334;1042;11;0.421;0.468;0.548;0.726;;;;;0.856;0.821;0.756;0.57;;;;;;;;
13;23926;796874.1933615974;0.8333333333333334;52;1;0.531;0.585;0.531;0.531;;;;;0.144;-0.04;0.143;0.143;;;;;;;;
14;38581;409240.0271591982;0.8333333333333334;929;16;0.1511256266222529;0.10958141112618724;0.1290827794209837;0.12853928955866525;0.433;0.458;0.472;0.629;0.607;1.486;0.858;0.629;0.857;0.839;0.829;0.697;0.73;-0.617;0.461;0.697
15;41539;492807.15592521377;0.8333333333333334;1224;12;0.12212035529152343;0.09460941828254849;0.1149492545161992;0.10051143790849675;0.472;0.481;0.604;0.657;0.496;0.433;0.602;0.657;0.416;0.393;0.044;-0.132;0.354;0.509;0.05;-0.132
16;41858;295238.6262139957;0.8333333333333334;618;9;0.16118261042045823;0.11428651685393258;0.1494601740545889;0.1090453074433657;0.448;0.499;0.577;0.737;0.548;0.74;0.572;0.737;0.909;0.888;0.85;0.755;0.864;0.752;0.852;0.755
17;41860;279675.42978935014;0.8333333333333334;633;10;0.14137428583969863;0.09419807427785419;0.1268574285804212;0.08609794628751975;0.363;0.413;0.393;0.47;0.414;0.658;0.426;0.47;0.94;0.923;0.93;0.9;0.922;0.803;0.918;0.9
18;41861;218037.67530584385;0.8333333333333334;801;13;0.10740708157998216;0.06902158273381297;0.0935771080214573;0.06485642946317105;0.404;0.434;0.372;0.539;0.458;0.758;0.439;0.539;0.934;0.923;0.944;0.881;0.914;0.766;0.921;0.881
19;41862;162660.5530708279;0.8333333333333334;712;13;0.12901775835515597;0.06838382687927108;0.09693073152170946;0.056755617977528094;0.42;0.43;0.44;0.561;0.437;0.672;0.397;0.561;0.937;0.934;0.931;0.887;0.931;0.838;0.943;0.887
20;41864;419571.8097772568;0.8333333333333334;957;15;0.13692627219991801;0.09642052744119745;0.11359127152115325;0.10445454545454547;0.31;0.333;0.273;0.481;0.359;0.628;0.357;0.481;0.923;0.911;0.94;0.815;0.897;0.685;0.898;0.815
21;41865;598357.646958985;0.8333333333333334;963;7;0.10901915166879218;0.06705533596837945;0.09673256789057423;0.0648182762201454;0.442;0.465;0.431;0.454;0.382;0.427;0.368;0.454;0.835;0.817;0.843;0.826;0.877;0.846;0.885;0.826
22;41891;636723.4951453801;0.8333333333333334;707;5;0.15779641599737929;0.0760978835978836;0.14448793184288036;0.07367751060820368;0.584;0.714;0.445;0.378;0.631;0.713;0.394;0.378;0.615;0.426;0.777;0.839;0.551;0.426;0.825;0.839
23;41892;574142.9765573984;0.8333333333333334;1279;9;0.10479568438990913;0.07647084548104957;0.09507954884864527;0.0769429241594996;0.274;0.307;0.258;0.344;0.248;0.342;0.282;0.344;0.936;0.92;0.944;0.9;0.948;0.901;0.932;0.9
24;41893;555161.3104702845;0.8333333333333334;1579;11;0.09179257475916912;0.06837799043062202;0.0831580558130793;0.06828372387587082;0.268;0.241;0.239;0.348;0.26;0.377;0.278;0.348;0.94;0.952;0.953;0.9;0.944;0.882;0.936;0.9
25;41895;518728.8377065484;0.8333333333333334;1495;11;0.07226373650534441;0.06171446306641838;0.06585871065211797;0.06282274247491638;0.246;0.302;0.258;0.327;0.306;0.341;0.288;0.327;0.95;0.924;0.945;0.911;0.922;0.903;0.931;0.911
26;41897;478239.2477053198;0.8333333333333334;1229;12;0.10072225333195217;0.07400335120643432;0.08828060331667874;0.0771627339300244;0.405;0.422;0.397;0.308;0.44;0.476;0.475;0.308;0.683;0.657;0.697;0.817;0.65;0.592;0.594;0.817
27;41899;448733.0573867012;0.8333333333333334;992;12;0.11321988173808933;0.08337048665620095;0.1051772963656292;0.09224092741935486;0.324;0.362;0.279;0.68;0.385;0.44;0.363;0.68;0.911;0.89;0.934;0.611;0.875;0.837;0.889;0.611
28;41900;439615.0889590909;0.8333333333333334;978;12;0.13688555468265964;0.09487491115849325;0.12372585757965478;0.0982034764826176;0.404;0.463;0.458;0.59;0.47;0.512;0.764;0.59;0.867;0.825;0.829;0.715;0.829;0.797;0.547;0.715
29;41903;361011.36655822257;0.8333333333333334;1098;15;0.1488011705682423;0.1081047227926078;0.12024652383898465;0.11588342440801458;0.421;0.457;0.515;0.542;0.555;0.749;0.646;0.542;0.896;0.877;0.844;0.827;0.819;0.67;0.754;0.827
30;41904;344723.1882694637;0.8333333333333334;977;15;0.15414439183082332;0.10460522388059704;0.12395462578779451;0.11204708290685775;0.406;0.406;0.462;0.658;0.535;0.769;0.567;0.658;0.903;0.903;0.874;0.745;0.831;0.651;0.811;0.745
31;41905;185542.2744992548;0.8333333333333334;823;12;0.10541840628440839;0.060998961578400845;0.09210724222552032;0.058736330498177405;0.411;0.464;0.402;0.452;0.418;0.627;0.416;0.452;0.939;0.923;0.942;0.927;0.937;0.859;0.938;0.927
32;41931;255202.3656464955;0.8333333333333334;646;10;0.12167259164524837;0.08653415300546449;0.11169928210121811;0.0761919504643963;0.435;0.527;0.402;0.455;0.446;0.694;0.433;0.455;0.916;0.877;0.928;0.908;0.912;0.787;0.917;0.908
33;41956;620656.3421110414;0.8333333333333334;843;6;0.12506632166217715;0.07369955156950674;0.11195960179180862;0.0715302491103203;0.502;0.768;0.4;0.442;0.51;0.772;0.369;0.442;0.716;0.335;0.82;0.78;0.706;0.327;0.847;0.78
34;42212;286924.6073327868;0.8333333333333334;708;10;0.15466080558526715;0.11020199501246883;0.14353766948757288;0.10508474576271187;0.445;0.466;0.553;0.566;0.491;0.553;0.493;0.566;0.911;0.902;0.862;0.856;0.891;0.862;0.89;0.856
35;42213;310050.6355811434;0.8333333333333334;808;11;0.16215159406483287;0.1192088934850052;0.1481701876831344;0.11842821782178217;0.535;0.614;0.57;0.7;0.602;0.924;0.601;0.7;0.872;0.831;0.855;0.781;0.838;0.618;0.838;0.781
