;Unnamed: 0;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;0;14884;548711.5927425973;0.8333333333333334;582;11;0.53;0.548;0.654;0.637;;;;;0.792;0.777;0.614;0.634;;;;;;;;;8.357;49.6916
1;1;15886;317140.0891093836;0.8333333333333334;526;10;0.1583396483654703;0.1052134831460674;0.1511385794331418;0.096425855513308;0.51;0.642;0.602;0.722;0.587;0.743;0.578;0.722;0.865;0.785;0.792;0.701;0.817;0.707;0.814;0.7;7.003;50.8951
2;2;16150;400652.49490120064;0.8333333333333334;516;17;0.518;0.527;0.572;0.784;;;;;0.823;0.817;0.755;0.54;;;;;;;;;7.569;50.4119
3;3;16151;417765.91207920026;0.8333333333333334;438;15;0.422;0.41;0.529;0.741;;;;;0.882;0.888;0.785;0.578;;;;;;;;;7.6262;50.2802
4;4;16152;649205.1974153378;0.8333333333333334;254;4;0.2515061552311006;0.0934545454545454;0.2371428381337094;0.0957874015748031;0.366;0.529;0.5;0.48;0.462;0.528;0.479;0.48;0.509;-0.025;-0.218;-0.123;0.221;-0.02;0.085;-0.123;8.2075;48.961
5;5;16285;433036.1922840641;0.8333333333333334;478;13;0.33;0.345;0.481;0.916;;;;;0.922;0.915;0.811;0.314;;;;;;;;;7.6317;50.2104
6;6;16286;422203.6339803607;0.8333333333333334;419;13;0.406;0.407;0.533;0.711;;;;;0.879;0.878;0.766;0.584;;;;;;;;;7.6449;50.2481
7;7;16287;421289.3385631128;0.8333333333333334;437;14;0.435;0.439;0.502;0.626;;;;;0.86;0.857;0.792;0.677;;;;;;;;;7.6519;50.2549
8;8;16649;526246.4921307832;0.8333333333333334;627;11;0.0736426618200787;0.0782330935251798;0.0653675150477184;0.0810685805422647;0.251;0.297;0.363;0.443;0.331;0.458;0.29;0.443;0.952;0.932;0.878;0.818;0.915;0.838;0.93;0.818;8.391;49.8121
9;9;16650;693868.1678564695;0.8333333333333334;179;5;0.387;0.376;0.332;0.469;;;;;0.488;0.515;0.496;-0.005;;;;;;;;;7.8889;48.6622
10;10;18867;757851.3871272242;0.8333333333333334;65;3;0.837;0.841;0.622;0.654;;;;;-0.063;-0.073;-0.079;-0.195;;;;;;;;;7.6082;48.1663
11;11;19876;591550.2427100627;0.8333333333333334;446;7;0.11488087248923;0.0845853174603174;0.1024827831884954;0.0902017937219731;0.296;0.332;0.38;0.479;0.29;0.423;0.281;0.479;0.932;0.914;0.868;0.79;0.934;0.86;0.933;0.79;8.4996;49.373
12;12;23925;439645.22401554993;0.8333333333333334;379;11;0.406;0.424;0.548;0.726;;;;;0.883;0.872;0.756;0.572;;;;;;;;;7.6807;50.17
13;13;23926;796874.1933615974;0.8333333333333334;16;1;0.726;0.804;0.531;0.531;;;;;0.126;-0.072;0.143;0.143;;;;;;;;;7.5562;47.8537
14;14;38581;409240.0271591982;0.8333333333333334;272;16;0.1618457582421699;0.0922454212454212;0.1128311451242847;0.1034558823529411;0.403;0.389;0.472;0.629;0.615;0.616;0.858;0.629;0.891;0.899;0.829;0.697;0.742;0.742;0.461;0.697;7.6012;50.3479
15;15;41539;492807.15592521377;0.8333333333333334;476;12;0.0853354720362059;0.0787299145299145;0.0699166742886005;0.0840966386554622;;;0.603;0.655;;;0.602;0.657;;;0.048;-0.126;;;0.05;-0.132;8.1891;50.0362
16;16;41858;295238.6262139957;0.8333333333333334;538;9;0.1470744829432367;0.1008803418803418;0.1411790743502365;0.0922118959107806;0.448;0.647;0.576;0.736;0.548;0.886;0.572;0.737;0.909;0.811;0.85;0.755;0.864;0.645;0.852;0.755;6.9288;51.0496
17;17;41860;279675.42978935014;0.8333333333333334;633;10;0.1329187233142488;0.0939779411764705;0.1268574285804212;0.0860979462875197;0.362;0.396;0.393;0.469;0.414;0.658;0.426;0.47;0.94;0.929;0.93;0.9;0.922;0.803;0.918;0.9;6.8501;51.1447
18;18;41861;218037.67530584385;0.8333333333333334;801;13;0.1015919738563159;0.0676783295711061;0.0935771080214573;0.064856429463171;0.404;0.482;0.371;0.539;0.458;0.758;0.439;0.539;0.934;0.905;0.944;0.882;0.914;0.766;0.921;0.881;6.7221;51.4638
19;19;41862;162660.5530708279;0.8333333333333334;712;13;0.1148758570410701;0.0627626262626262;0.0969307315217094;0.056755617977528;0.42;0.472;0.439;0.561;0.437;0.672;0.397;0.561;0.937;0.92;0.931;0.887;0.931;0.838;0.943;0.887;6.4009;51.7553
