;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;14884;548711.5927425973;0.8333333333333334;604;11;0.09689425025527561;0.08728807947019866;;;0.379;0.469;0.29;0.609;;;;;0.893;0.837;0.937;0.724;;;;;8.357;49.6916
1;15886;317140.0891093836;0.8333333333333334;522;10;0.1545147137438877;0.10541860465116279;0.142157163888226;0.09802681992337164;0.476;0.674;0.448;0.556;0.505;0.837;0.467;0.556;0.88;0.76;0.894;0.837;0.865;0.628;0.885;0.836;7.003;50.8951
2;16150;400652.49490120064;0.8333333333333334;524;17;0.17238794350134906;0.08645992366412215;;;0.478;0.543;0.444;0.801;;;;;0.849;0.805;0.873;0.586;;;;;7.569;50.4119
3;16151;417765.91207920026;0.8333333333333334;439;15;0.17304974398000822;0.07960820045558087;;;0.385;0.363;0.324;0.804;;;;;0.901;0.912;0.931;0.577;;;;;7.6262;50.2802
4;16152;649205.1974153378;0.8333333333333334;191;4;0.2229598602332892;0.0940787037037037;0.20804370360057067;0.0955497382198953;0.383;0.448;0.492;0.403;0.391;0.598;0.541;0.403;0.465;0.265;0.109;0.404;0.44;-0.304;-0.074;0.405;8.2075;48.961
5;16285;433036.19228406413;0.8333333333333334;487;13;0.14286044681858356;0.07717864476386038;;;0.319;0.331;0.278;0.792;;;;;0.927;0.922;0.946;0.561;;;;;7.6317;50.2104
6;16286;422203.6339803607;0.8333333333333334;421;13;0.1640431693665563;0.0797458432304038;;;0.333;0.301;0.279;0.764;;;;;0.918;0.933;0.944;0.579;;;;;7.6449;50.2481
7;16287;421289.33856311283;0.8333333333333334;440;14;0.1696072465691426;0.07772727272727273;;;0.348;0.321;0.29;0.658;;;;;0.911;0.924;0.939;0.686;;;;;7.6519;50.2549
8;16649;526246.4921307832;0.8333333333333334;601;11;0.09166467511779804;0.0828060606060606;0.08200566553179528;0.08594009983361066;0.241;0.318;0.232;0.269;0.292;0.447;0.291;0.27;0.955;0.923;0.959;0.945;0.935;0.847;0.936;0.945;8.391;49.8121
9;16650;693868.1678564695;0.8333333333333334;171;5;0.21509260260793353;0.0972046783625731;;;0.395;0.368;0.336;0.562;;;;;0.476;0.546;0.62;-0.061;;;;;7.8889;48.6622
10;18867;757851.3871272242;0.8333333333333334;52;3;0.34311919949968456;0.11171153846153849;;;0.866;0.865;0.862;0.955;;;;;-0.094;-0.094;-0.084;-0.331;;;;;7.6082;48.1663
