;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;13345;236815.7899241706;0.8333333333333334;657;9;0.11215766515219185;0.07646693657219975;0.10260657662739325;0.0673668188736682;0.362;0.457;0.422;0.369;0.418;0.597;0.39;0.377;0.944;0.91;0.923;0.941;0.922;0.841;0.932;0.938;6.675;51.345
1;14546;246185.6273304865;0.8333333333333334;633;9;0.11081598727284382;0.07995726495726496;0.10303776760047755;0.07127962085308058;0.348;0.401;0.404;0.407;0.424;0.603;0.419;0.415;0.948;0.931;0.93;0.929;0.921;0.839;0.922;0.926;6.7121;51.2854
2;15886;317140.0891093836;0.8333333333333334;522;8;0.1545147137438877;0.10541860465116279;0.142157163888226;0.09802681992337164;0.476;0.674;0.456;0.556;0.499;0.831;0.443;0.559;0.88;0.76;0.89;0.837;0.868;0.634;0.896;0.835;7.003;50.8951
3;16152;649205.1974153378;0.8333333333333334;140;1;0.2349505008817981;0.09946202531645572;0.22537220229984034;0.10257142857142856;0.336;0.435;0.434;0.403;0.334;0.527;0.456;0.41;0.588;0.307;0.309;0.404;0.591;-0.022;0.232;0.379;8.2075;48.961
4;16649;526246.4921307832;0.8333333333333334;601;8;0.08745516077062787;0.08156000000000001;0.08200566553179528;0.08594009983361066;0.239;0.302;0.24;0.269;0.294;0.451;0.29;0.284;0.956;0.93;0.956;0.945;0.935;0.846;0.937;0.94;8.391;49.8121
5;19876;591550.2427100627;0.8333333333333334;411;6;0.1371561440440286;0.08525167037861917;0.12816149735355062;0.08856447688564478;0.303;0.339;0.323;0.323;0.292;0.394;0.343;0.324;0.928;0.91;0.919;0.919;0.933;0.878;0.909;0.918;8.4996;49.373
6;38581;409240.0271591982;0.8333333333333334;249;5;0.1617706110482142;0.08626865671641791;0.12708113971772927;0.09630522088353416;0.4;0.378;0.353;0.6;0.578;0.933;0.526;0.602;0.892;0.904;0.918;0.763;0.772;0.407;0.818;0.761;7.6012;50.3479
7;41858;295238.6262139957;0.8333333333333334;514;8;0.14447542442312492;0.10239750445632799;0.1345654687781245;0.09346303501945527;0.444;0.641;0.547;0.672;0.496;0.669;0.538;0.674;0.911;0.814;0.865;0.796;0.889;0.797;0.869;0.795;6.9288;51.0496
8;41860;279675.42978935014;0.8333333333333334;596;9;0.12912895055322632;0.09610419906687404;0.11938035010369721;0.0879026845637584;0.346;0.445;0.481;0.446;0.422;0.555;0.51;0.48;0.946;0.911;0.896;0.91;0.92;0.861;0.883;0.896;6.8501;51.1447
9;41861;218037.67530584385;0.8333333333333334;777;10;0.09706785093694681;0.06792570754716983;0.09259534179824881;0.06564993564993565;0.368;0.424;0.48;0.5;0.43;0.614;0.537;0.501;0.945;0.927;0.906;0.898;0.925;0.846;0.882;0.898;6.7221;51.4638
