;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;13345;236815.7899241706;0.8333333333333334;577;7;0.09362095615934506;0.06670129870129872;0.08930682358180138;0.06622183708838822;0.346;0.562;0.351;0.368;0.381;0.631;0.383;0.374;0.948;0.864;0.947;0.941;0.936;0.823;0.935;0.939;6.675;51.345
1;14546;246185.6273304865;0.8333333333333334;593;8;0.09329326996657349;0.0726056782334385;0.09160412423561036;0.07084317032040473;0.377;0.491;0.348;0.402;0.417;0.614;0.38;0.409;0.939;0.896;0.948;0.93;0.923;0.833;0.936;0.928;6.7121;51.2854
2;15886;317140.0891093836;0.8333333333333334;341;5;0.14166577012419088;0.11036927223719677;0.13298035839921915;0.09560117302052787;0.539;0.835;0.482;0.556;0.5;0.678;0.472;0.559;0.846;0.631;0.877;0.837;0.868;0.757;0.883;0.835;7.003;50.8951
3;16649;526246.4921307832;0.8333333333333334;601;8;0.08745516077062787;0.08156000000000001;0.08200566553179528;0.08594009983361066;0.242;0.302;0.232;0.267;0.292;0.449;0.293;0.28;0.955;0.93;0.959;0.946;0.935;0.847;0.936;0.941;8.391;49.8121
4;19876;591550.2427100627;0.8333333333333334;232;3;0.09673289771545808;0.08465476190476191;0.0910734569836052;0.08969827586206898;0.327;0.373;0.309;0.323;0.385;0.544;0.341;0.324;0.917;0.891;0.926;0.919;0.884;0.768;0.91;0.918;8.4996;49.373
5;38581;409240.0271591982;0.8333333333333334;193;3;0.14503009597531424;0.11389430894308944;0.13422982856078172;0.10139896373056995;0.694;0.738;0.654;0.6;0.562;0.686;0.537;0.602;0.672;0.629;0.718;0.763;0.785;0.679;0.81;0.761;7.6012;50.3479
6;41858;295238.6262139957;0.8333333333333334;474;7;0.12747380111355489;0.09551968503937008;0.12287508619961085;0.09478902953586499;0.442;0.66;0.463;0.672;0.496;0.665;0.503;0.674;0.912;0.803;0.903;0.796;0.889;0.8;0.885;0.795;6.9288;51.0496
7;41860;279675.42978935014;0.8333333333333334;516;7;0.11244898348891258;0.08892682926829269;0.10706874495026095;0.0898062015503876;0.342;0.479;0.356;0.446;0.434;0.532;0.418;0.48;0.947;0.896;0.943;0.91;0.915;0.872;0.921;0.896;6.8501;51.1447
8;41861;218037.67530584385;0.8333333333333334;379;5;0.09146271615365573;0.0691764705882353;0.09147353356200946;0.06617414248021108;0.393;0.536;0.369;0.5;0.408;0.63;0.382;0.501;0.937;0.883;0.945;0.898;0.932;0.838;0.941;0.898;6.7221;51.4638
9;41862;162660.5530708279;0.8333333333333334;459;5;0.09625397055115746;0.057673956262425455;0.08743112289398541;0.05531590413943356;0.43;0.585;0.477;0.735;0.45;0.68;0.451;0.742;0.934;0.877;0.918;0.806;0.927;0.834;0.927;0.802;6.4009;51.7553
10;41864;419571.8097772568;0.8333333333333334;216;3;0.1298274095282914;0.09230830039525695;0.1217799742392162;0.07777777777777779;0.461;0.673;0.431;0.497;0.361;0.527;0.336;0.501;0.839;0.658;0.865;0.821;0.902;0.79;0.918;0.817;7.6444;50.2689
