;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
0;8907;89033.1082363893;0.8333333333333334;410;9;0.3250858323379242;0.08659059233449477;0.3303048525769349;0.09760975609756098;0.226;0.218;0.274;0.265;0.25;0.278;0.279;0.265;0.957;0.96;0.937;0.941;0.948;0.935;0.934;0.941;18.848;53.8089
1;13674;130234.94470956137;0.8333333333333334;329;7;0.2974768877808131;0.09203711790393014;0.29666269583556143;0.09462006079027355;0.237;0.221;0.238;0.25;0.25;0.276;0.225;0.25;0.957;0.962;0.957;0.952;0.952;0.941;0.961;0.952;18.7322;53.4758
2;14693;129681.95882717073;0.8333333333333334;476;8;0.2987174200029243;0.08950840336134455;;;0.337;0.319;0.446;0.546;;;;;0.914;0.923;0.849;0.774;;;;;18.7373;53.4797
3;15926;163405.91077969785;0.8333333333333334;274;5;0.29891955437192474;0.10878635014836796;0.2869774426129982;0.09437956204379563;0.254;0.233;0.257;0.273;0.262;0.299;0.268;0.273;0.945;0.954;0.944;0.937;0.942;0.924;0.939;0.937;18.3405;53.3272
4;15927;221210.50648990646;0.8333333333333334;171;3;0.3391294584019282;0.12455656108597285;0.3417563800338816;0.10760233918128655;0.287;0.272;0.313;0.318;0.303;0.272;0.306;0.318;0.933;0.94;0.921;0.918;0.925;0.94;0.924;0.918;18.4983;53.0083
5;17524;148826.1377655787;0.8333333333333334;315;6;0.2967391932943315;0.10211838790931992;0.28859035119305215;0.09320634920634921;0.277;0.254;0.282;0.254;0.299;0.333;0.281;0.254;0.942;0.951;0.94;0.951;0.931;0.915;0.939;0.951;18.4949;53.4154
6;17525;208138.90493973324;0.8333333333333334;233;4;0.3153146668842005;0.11959468438538208;0.3032135486651762;0.10261802575107298;0.266;0.26;0.266;0.257;0.266;0.264;0.268;0.257;0.943;0.945;0.943;0.946;0.942;0.943;0.942;0.946;18.3313;53.0659
7;24938;38705.56945368129;0.8333333333333334;572;10;0.38745340168236697;0.0879900426742532;0.3802398711092593;0.09641608391608392;0.331;0.363;0.383;0.42;0.301;0.32;0.403;0.42;0.944;0.933;0.925;0.91;0.953;0.947;0.917;0.91;18.9164;54.2085
8;24939;45975.60171439811;0.8333333333333334;507;10;0.37459198011418343;0.08341629629629631;0.3744148405766687;0.09272189349112427;0.347;0.456;0.319;0.424;0.313;0.336;0.311;0.424;0.938;0.893;0.947;0.907;0.949;0.942;0.95;0.907;18.8437;54.1627
9;24940;61308.51715119224;0.8333333333333334;499;10;0.3710017233431515;0.08439013452914798;0.39030196838577247;0.09484969939879759;0.253;0.275;0.552;0.474;0.303;0.303;0.522;0.473;0.946;0.936;0.744;0.811;0.922;0.922;0.77;0.812;18.825;54.0324
10;24941;243902.05624566998;0.8333333333333334;110;3;0.3568102280291909;0.13138255033557047;0.37541141229493863;0.11181818181818183;0.343;0.301;0.376;0.384;0.35;0.287;0.385;0.384;0.876;0.905;0.851;0.845;0.872;0.914;0.845;0.845;18.7316;52.927
11;41461;144233.3029778453;0.8333333333333334;450;7;0.29501201346048456;0.09708888888888888;;;0.264;0.256;0.261;0.328;;;;;0.947;0.95;0.948;0.918;;;;;18.56;53.4231
12;45915;183894.92992736772;0.8333333333333334;282;5;0.3079338019309892;0.11642285714285716;0.29611846622042826;0.10163120567375888;0.253;0.229;0.243;0.305;0.255;0.238;0.243;0.305;0.946;0.956;0.95;0.921;0.945;0.952;0.95;0.921;18.1982;53.1797
13;45917;114734.04668934067;0.8333333333333334;337;8;0.301086660560881;0.08855179704016915;0.303843808079854;0.09572700296735905;0.21;0.195;0.277;0.271;0.221;0.261;0.26;0.272;0.963;0.968;0.935;0.938;0.959;0.943;0.943;0.938;18.7572;53.611
14;45918;100128.74615506147;0.8333333333333334;340;8;0.3053817186544052;0.08682096069868994;0.3160510756546538;0.09735294117647059;0.253;0.23;0.266;0.292;0.275;0.277;0.261;0.292;0.946;0.955;0.94;0.928;0.936;0.935;0.943;0.928;18.8293;53.7198
15;45919;81137.25946506241;0.8333333333333334;428;9;0.33610282637639644;0.08481925675675676;0.34481041962690573;0.09469626168224299;0.251;0.218;0.336;0.328;0.273;0.274;0.304;0.328;0.947;0.96;0.905;0.909;0.937;0.937;0.922;0.909;18.8751;53.873
16;45926;71193.0329819102;0.8333333333333334;492;10;0.3556047372250188;0.08456250000000001;0.3689480937101798;0.09306910569105692;0.308;0.284;0.533;0.468;0.334;0.316;0.484;0.468;0.92;0.932;0.761;0.815;0.906;0.916;0.803;0.815;18.8688;53.9537
