,discharge,velocity,waterlevel
2015-09-09,218.28837401177051,0.365,7.041308690617293
2022-08-02,218.37609265042306,0.365,7.041822484186685
2018-09-04,223.88365270097896,0.375,7.073822484186685
2022-07-23,224.54891764739887,0.375,7.077653668923933
2018-09-24,224.6091176756478,0.375,7.078
2019-08-07,225.20602596129845,0.375,7.08143084826225
2018-10-23,226.6679644996925,0.375,7.0898094519542125
2023-07-15,227.2038451663275,0.375,7.092872128731365
2018-10-04,227.81179933532505,0.375,7.096341211346929
2018-08-25,230.18557029705323,0.38,7.109822484186685
2018-08-15,230.8306412849256,0.38,7.113470758654113
2019-09-26,231.69357329920018,0.385,7.118341211346929
2018-09-14,232.36921695647112,0.385,7.122146622193767
2019-07-08,232.5476855174926,0.385,7.12315064667063
2022-07-13,232.8827244353365,0.385,7.12503420071141
2020-08-18,234.2959989503622,0.385,7.132960896901747
2015-10-09,234.80518182812864,0.385,7.135809451954213
2015-08-10,235.55550277016107,0.385,7.14
2019-09-16,239.0494311024115,0.39,7.159404728469752
2015-09-19,239.49615226125746,0.39,7.161872970185347
2018-10-14,240.92455263970325,0.395,7.16974593150507
2015-07-12,242.96407469476136,0.395,7.180936486200304
2022-08-22,243.70448956652797,0.395,7.184984553383533
2019-07-28,248.84374840176113,0.4,7.212872970185347
2022-08-12,249.63723641366818,0.4,7.217146622193767
2016-09-30,250.3813384156175,0.4,7.221146622193767
2022-06-13,250.43426408107442,0.4,7.22143084826225
2015-07-22,251.82253359468956,0.4,7.228872970185347
2019-07-18,254.13519865727645,0.405,7.2412141704484965
2023-08-04,254.507855445849,0.405,7.243196272305412
2015-09-29,256.32004403179224,0.405,7.252809451954213
2022-11-29,256.3845094242874,0.405,7.25315064667063
2022-09-10,256.7712209784692,0.405,7.255196272305413
2022-12-09,259.3278768770526,0.41,7.2686725359558855
2023-10-22,259.8239280437222,0.41,7.2712776920069135
2019-08-27,262.97174660234765,0.41,7.287738077170667
2015-10-19,268.4975850975442,0.415,7.316341211346929
