,vs_code,x,y
0,38368,15.9347,51.7017
1,42219,14.4172,53.1946
2,959,14.6161,52.5547
3,38367,15.7825,51.8701
4,38366,15.771,51.8897
5,42222,14.6098,52.4655
6,42221,14.5351,52.634
7,42223,14.5793,52.3124
8,41520,14.4248,52.6949
9,42220,14.4925,53.2837
10,18750,14.2851,53.0172
11,41866,14.5531,52.3598
12,41867,14.3098,53.0331
13,41868,14.6894,52.1523
14,41869,14.4347,52.6804
15,41917,14.7516,52.0721
16,42218,14.2199,52.9895
17,42214,14.309,52.765
18,42215,14.2162,52.8166
19,42216,14.1275,52.85
20,42217,14.1455,52.9266
21,23405,15.2132,52.0769
22,13661,14.6649,52.2611
23,18751,14.4527,52.678
24,18752,14.6877,52.199
25,18753,14.7464,52.0802
26,18754,16.2547,51.6802
27,13660,14.6561,52.2628
28,19763,15.493,52.0442
29,19765,18.0196,50.4392
30,13659,14.5711,52.4399
31,23402,14.5813,53.3638
32,23403,14.4109,52.7041
33,23404,15.0362,52.0673
34,42224,14.8376,52.0771
35,23406,15.7319,51.9733
36,23407,15.8194,51.7483
37,23408,15.8493,51.7262
38,23409,16.37,51.6107
39,23410,16.4454,51.4485
40,23411,16.5166,51.2354
41,23412,17.0771,51.0993
42,42305,15.3131,52.0557
