;id;DS.chainage;river;velocity;c;len(DS.densified_wl_by_regr_itpd);len(DS.upstream_adjacent_vs);mean_bias;mean_uncrt;mean_rmse_sum;rmse_reg;rmse_raw;rmse_cval;rmse_daily;rmse_srd;nse_reg;nse_raw;nse_cval;nse_daily;nse_srd
0;46217;78287,03637738184;Po;2,081665015908724;0,01;539;21;0,3137452480002795;0,10276608187134503;0,35386678362573093;0,4412;0,9478;0,1002;0,3232;0,192;0,9438;0,7406;0,9977;0,9679;0,9907
1;46217;78287,03637738184;Po;1,7032634561216173;0,011;539;21;0,3137452480002795;0,10276608187134503;0,353866783625731;0,4336;0,9478;0,1;0,3076;0,192;0,9457;0,7406;0,9977;0,9705;0,9907
2;46217;78287,03637738184;Po;1,561324834778149;0,012;539;21;0,31374524800027953;0,10276608187134503;0,353866783625731;0,4384;0,9478;0,0982;0,3316;0,192;0,9445;0,7406;0,9978;0,9658;0,9907
3;46217;78287,03637738184;Po;1,441222924410599;0,013;539;21;0,31374524800027953;0,10276608187134503;0,353866783625731;0,4546;0,9478;0,1005;0,3359;0,192;0,9403;0,7406;0,9977;0,9641;0,9907
4;46217;78287,03637738184;Po;1,3382784298098418;0,014;539;21;0,31374524800027953;0,10276608187134503;0,353866783625731;0,4545;0,9478;0,099;0,3366;0,192;0,9404;0,7406;0,9978;0,9636;0,9907
5;46217;78287,03637738184;Po;1,2490598678225193;0,015;539;21;0,3137909812205089;0,10276932084309136;0,3536708430913349;0,4564;0,9478;0,1056;0,3368;0,192;0,9398;0,7406;0,9975;0,9628;0,9907
6;46217;78287,03637738184;Po;1,1717124102391177;0,016;539;21;0,3137909812205089;0,10276932084309136;0,3536708430913349;0,4508;0,9478;0,107;0,3288;0,192;0,9413;0,7406;0,9974;0,9653;0,9907
7;46217;78287,03637738184;Po;1,1027881508132868;0,017;539;21;0,31379098122050897;0,10276932084309136;0,3536708430913349;0,4517;0,9478;0,1068;0,3241;0,192;0,9411;0,7406;0,9974;0,9665;0,9907
8;46217;78287,03637738184;Po;1,0415221424347711;0,018;539;21;0,31379098122050897;0,10276932084309136;0,3536708430913349;0,4576;0,9478;0,1071;0,3339;0,192;0,9395;0,7406;0,9974;0,9644;0,9907
9;46217;78287,03637738184;Po;0,9867051875697832;0,019;538;21;0,31379098122050897;0,10276932084309136;0,3536708430913349;0,464;0,9478;0,1068;0,3425;0,192;0,9378;0,7406;0,9974;0,9622;0,9907
10;46217;78287,03637738184;Po;0,9373699281912939;0,02;538;21;0,31379098122050897;0,10276932084309136;0,3536708430913349;0,4566;0,9478;0,1061;0,343;0,192;0,9398;0,7406;0,9975;0,9618;0,9907
11;46217;78287,03637738184;Po;0,8927332649440894;0,021;538;21;0,31390293690483717;0,10273739742086753;0,3531413833528722;0,4492;0,9478;0,1044;0,3376;0,192;0,9417;0,7406;0,9975;0,9628;0,9907
12;46217;78287,03637738184;Po;0,8521473191490114;0,022;538;21;0,3140314878028433;0,10257461809635722;0,352286133960047;0,4511;0,9478;0,1061;0,3413;0,192;0,9412;0,7406;0,9975;0,9619;0,9907
13;46217;78287,03637738184;Po;0,8138577556648118;0,023;539;21;0,3140314878028433;0,10257461809635723;0,352286133960047;0,4522;0,9478;0,1077;0,3419;0,192;0,941;0,7406;0,9974;0,9628;0,9907
14;46217;78287,03637738184;Po;0,7799470158454446;0,024;539;21;0,3140314878028433;0,10257461809635723;0,352286133960047;0,4528;0,9478;0,1212;0,3442;0,192;0,9408;0,7406;0,9967;0,962;0,9907
15;46217;78287,03637738184;Po;0,7487491352116269;0,025;539;21;0,3140314878028433;0,10257461809635723;0,35228613396004693;0,4547;0,9478;0,1243;0,3454;0,192;0,9403;0,7406;0,9965;0,9619;0,9907
16;46217;78287,03637738184;Po;0,7199510915496411;0,026;539;21;0,31403148780284335;0,10257461809635723;0,352286133960047;0,4551;0,9478;0,124;0,3438;0,192;0,9402;0,7406;0,9965;0,9622;0,9907
17;46217;78287,03637738184;Po;0,693286236307062;0,027;539;21;0,31403148780284335;0,10257461809635723;0,352286133960047;0,4534;0,9478;0,1245;0,3434;0,192;0,9407;0,7406;0,9965;0,9623;0,9907
18;46217;78287,03637738184;Po;0,6685260135818097;0,028;539;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,4617;0,9478;0,1174;0,3484;0,192;0,9384;0,7406;0,9969;0,9612;0,9907
19;46217;78287,03637738184;Po;0,6449896284439908;0,029;538;21;0,3142433862220728;0,10249529411764707;0,35175541176470587;0,4599;0,9478;0,13;0,351;0,192;0,9389;0,7406;0,9962;0,9611;0,9907
20;46217;78287,03637738184;Po;0,6234899741625246;0,03;538;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,4718;0,9478;0,1299;0,3657;0,192;0,9357;0,7406;0,9962;0,9585;0,9907
21;46217;78287,03637738184;Po;0,6033773943508303;0,031;538;21;0,3142433862220728;0,10249529411764707;0,35175541176470587;0,4746;0,9478;0,137;0,3705;0,192;0,935;0,7406;0,9958;0,9571;0,9907
22;46217;78287,03637738184;Po;0,5845218507773667;0,032;538;21;0,3142433862220728;0,10249529411764707;0,35175541176470587;0,4913;0,9478;0,1502;0,3679;0,192;0,9303;0,7406;0,9949;0,9582;0,9907
23;46217;78287,03637738184;Po;0,5668090674204768;0,033;538;21;0,3142433862220728;0,10249529411764707;0,35175541176470587;0,4922;0,9478;0,1506;0,3689;0,192;0,93;0,7406;0,9949;0,9576;0,9907
24;46217;78287,03637738184;Po;0,5501382124963452;0,034;538;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,4945;0,9478;0,1487;0,3691;0,192;0,9294;0,7406;0,995;0,958;0,9907
25;46217;78287,03637738184;Po;0,5344199778535925;0,035;538;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,5109;0,9478;0,1498;0,3968;0,192;0,9246;0,7406;0,9949;0,9516;0,9907
26;46217;78287,03637738184;Po;0,5195749784687704;0,036;539;21;0,3142433862220728;0,10249529411764707;0,3517554117647059;0,5109;0,9478;0,1359;0,3984;0,192;0,9246;0,7406;0,9958;0,9511;0,9907
27;46217;78287,03637738184;Po;0,5055324114831281;0,037;539;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,5096;0,9478;0,1361;0,3979;0,192;0,925;0,7406;0,9958;0,9514;0,9907
28;46217;78287,03637738184;Po;0,4922289269704142;0,038;539;21;0,3142433862220728;0,10249529411764707;0,3517554117647058;0,5089;0,9478;0,1385;0,3971;0,192;0,9252;0,7406;0,9957;0,9516;0,9907
29;46217;78287,03637738184;Po;0,4796076724327113;0,039;538;21;0,3146205883703537;0,1026148409893993;0,35142685512367494;0,5177;0,9478;0,1404;0,4064;0,192;0,9226;0,7406;0,9955;0,9487;0,9907
30;46217;78287,03637738184;Po;0,4672124137405182;0,04;538;21;0,3146205883703537;0,1026148409893993;0,35142685512367494;0,5146;0,9478;0,1404;0,409;0,192;0,9235;0,7406;0,9955;0,9481;0,9907
31;46217;78287,03637738184;Po;0,45581698901513973;0,041;538;21;0,3146205883703537;0,1026148409893993;0,35142685512367494;0,5071;0,9478;0,1548;0,4119;0,192;0,9258;0,7406;0,9946;0,9476;0,9907
32;46217;78287,03637738184;Po;0,44496420356239824;0,042;538;21;0,3146205883703537;0,1026148409893993;0,35142685512367494;0,5124;0,9478;0,1518;0,4195;0,192;0,9242;0,7406;0,9948;0,9453;0,9907
33;46217;78287,03637738184;Po;0,43461619882838903;0,043;538;21;0,3146205883703537;0,1026148409893993;0,35142685512367494;0,515;0,9478;0,1516;0,4284;0,192;0,9234;0,7406;0,9948;0,9432;0,9907
34;46217;78287,03637738184;Po;0,4247385579459257;0,044;538;21;0,31462058837035367;0,1026148409893993;0,35142685512367494;0,5169;0,9478;0,1563;0,4319;0,192;0,9229;0,7406;0,9945;0,9416;0,9907
35;46217;78287,03637738184;Po;0,415299923324905;0,045;538;21;0,31462058837035367;0,1026148409893993;0,35142685512367494;0,5401;0,9478;0,1726;0,4738;0,192;0,9158;0,7406;0,9933;0,93;0,9907
36;46217;78287,03637738184;Po;0,4062716641221898;0,046;538;21;0,31462058837035367;0,1026148409893993;0,35142685512367494;0,5505;0,9478;0,173;0,4846;0,192;0,9125;0,7406;0,9932;0,9275;0,9907
37;46217;78287,03637738184;Po;0,3976275861621431;0,047;538;21;0,3150129339897801;0,10269929245283019;0,3515536556603774;0,5579;0,9478;0,172;0,4918;0,192;0,9101;0,7406;0,9933;0,9251;0,9907
38;46217;78287,03637738184;Po;0,3895865073096321;0,048;538;21;0,3150129339897801;0,10269929245283019;0,3515536556603773;0,5597;0,9478;0,1705;0,4911;0,192;0,9096;0,7406;0,9934;0,9266;0,9907
39;46217;78287,03637738184;Po;0,3816357622624968;0,049;538;21;0,31501293398978014;0,10269929245283019;0,3515536556603774;0,5587;0,9478;0,1705;0,484;0,192;0,9099;0,7406;0,9934;0,9288;0,9907
40;46217;78287,03637738184;Po;0,3740030470172469;0,05;538;21;0,31495951508256204;0,10267021276595746;0,3512750591016549;0,556;0,9478;0,1702;0,4787;0,192;0,9107;0,7406;0,9934;0,9305;0,9907
41;46217;78287,03637738184;Po;0,3673438150817634;0,051;538;21;0,314959515082562;0,10267021276595746;0,3512750591016549;0,5543;0,9478;0,1707;0,4774;0,192;0,9113;0,7406;0,9934;0,9304;0,9907
42;46217;78287,03637738184;Po;0,36027951094557564;0,052;538;21;0,314959515082562;0,10267021276595746;0,3512750591016549;0,5494;0,9478;0,1698;0,4717;0,192;0,9128;0,7406;0,9935;0,9327;0,9907
43;46217;78287,03637738184;Po;0,353481784323961;0,053;538;21;0,314959515082562;0,10267021276595746;0,3512750591016549;0,5504;0,9478;0,2117;0,478;0,192;0,9125;0,7406;0,9899;0,9308;0,9907
44;46217;78287,03637738184;Po;0,3469358253549988;0,054;538;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,5489;0,9478;0,2119;0,4759;0,192;0,913;0,7406;0,9898;0,9314;0,9907
45;46217;78287,03637738184;Po;0,34062790125763526;0,055;538;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,5524;0,9478;0,2126;0,4778;0,192;0,9119;0,7406;0,9898;0,931;0,9907
46;46217;78287,03637738184;Po;0,3345452601637488;0,056;538;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,5541;0,9478;0,1658;0,4814;0,192;0,9113;0,7406;0,9938;0,9296;0,9907
47;46217;78287,03637738184;Po;0,3286760450731567;0,057;538;21;0,314959515082562;0,10267021276595746;0,3512750591016549;0,5585;0,9478;0,1658;0,4864;0,192;0,9099;0,7406;0,9938;0,928;0,9907
48;46217;78287,03637738184;Po;0,3230092167098264;0,058;538;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,5624;0,9478;0,1766;0,489;0,192;0,9087;0,7406;0,9929;0,9272;0,9907
49;46217;78287,03637738184;Po;0,3175344842232192;0,059;537;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,5735;0,9478;0,1766;0,5081;0,192;0,905;0,7406;0,9929;0,9214;0,9907
50;46217;78287,03637738184;Po;0,31224224281949886;0,06;537;21;0,314959515082562;0,10267021276595746;0,35127505910165485;0,569;0,9478;0,1771;0,5094;0,192;0,9065;0,7406;0,9929;0,9208;0,9907
51;46221;114018,01273358069;Po;2,1892374008893407;0,01;539;22;0,2990158243330088;0,11743871513102283;0,5966995773457312;0,4627;0,9794;0,1499;0,3864;0,3146;0,9429;0,744;0,9946;0,9555;0,9746
52;46221;114018,01273358069;Po;1,9930773913986382;0,011;539;22;0,29875484715188494;0,11729043183742592;0,5966762066045724;0,4633;0,9794;0,1505;0,3806;0,3146;0,9427;0,744;0,9946;0,9567;0,9746
53;46221;114018,01273358069;Po;1,8279439209815502;0,012;539;22;0,29887986227581637;0,11736440677966102;0,596502033898305;0,4578;0,9794;0,1478;0,3737;0,3146;0,9441;0,744;0,9948;0,958;0,9746
54;46221;114018,01273358069;Po;1,688189891470156;0,013;539;22;0,29887986227581637;0,11736440677966102;0,596502033898305;0,4812;0,9794;0,1435;0,4109;0,3146;0,9382;0,744;0,9951;0,9495;0,9746
55;46221;114018,01273358069;Po;1,5676048992222877;0,014;539;22;0,2989617429232669;0,11744105173876168;0,5965627650551314;0,4711;0,9794;0,143;0,407;0,3146;0,9408;0,744;0,9951;0,9511;0,9746
56;46221;114018,01273358069;Po;1,464015612530755;0,015;540;22;0,2985071858043871;0,11750339558573852;0,5966235993208828;0,4571;0,9794;0,1443;0,3861;0,3146;0,9442;0,744;0,995;0,9556;0,9746
57;46221;114018,01273358069;Po;1,3727252465211663;0,016;540;22;0,2985071858043871;0,11750339558573852;0,5966235993208828;0,4568;0,9794;0,1446;0,3847;0,3146;0,9443;0,744;0,995;0,956;0,9746
58;46221;114018,01273358069;Po;1,2919767026081566;0,017;539;22;0,2985071858043871;0,11750339558573855;0,5966235993208828;0,4606;0,9794;0,1459;0,4101;0,3146;0,9434;0,744;0,9949;0,9516;0,9746
59;46221;114018,01273358069;Po;1,2202002191299255;0,018;539;22;0,2980568022170759;0,11745029736618522;0,5966866610025489;0,4579;0,9794;0,1437;0,4072;0,3146;0,944;0,744;0,9951;0,9517;0,9746
60;46221;114018,01273358069;Po;1,1550400397103755;0,019;539;22;0,2968443844157369;0,11721003401360544;0,5967482142857142;0,4648;0,9794;0,1432;0,4126;0,3146;0,9423;0,744;0,9951;0,95;0,9746
61;46221;114018,01273358069;Po;1,0964582348512355;0,02;539;22;0,2963949072275429;0,11716609880749573;0,5959716354344122;0,4707;0,9794;0,1453;0,4162;0,3146;0,9409;0,744;0,995;0,9497;0,9746
62;46221;114018,01273358069;Po;1,0426954063358322;0,021;539;22;0,29668362219926286;0,11730290102389077;0,5959907849829352;0,4815;0,9794;0,1437;0,4287;0,3146;0,9381;0,744;0,9951;0,9462;0,9746
63;46221;114018,01273358069;Po;0,9962464461605598;0,022;539;22;0,29668362219926286;0,11738599487617421;0,5959031596925705;0,4934;0,9794;0,1416;0,4575;0,3146;0,935;0,744;0,9952;0,9395;0,9746
64;46221;114018,01273358069;Po;0,9534294907058222;0,023;539;22;0,29668362219926286;0,11738599487617421;0,5959031596925705;0,4949;0,9794;0,1343;0,4569;0,3146;0,9346;0,744;0,9957;0,9392;0,9746
65;46221;114018,01273358069;Po;0,9137032619264126;0,024;539;22;0,29668362219926286;0,11738599487617421;0,5959031596925705;0,489;0,9794;0,1335;0,4507;0,3146;0,9362;0,744;0,9958;0,9407;0,9746
66;46221;114018,01273358069;Po;0,8771551314493563;0,025;539;22;0,2966120679942458;0,11742393162393164;0,5953570085470086;0,4837;0,9794;0,1291;0,4355;0,3146;0,9376;0,744;0,996;0,9441;0,9746
67;46221;114018,01273358069;Po;0,8432784477486215;0,026;539;22;0,2966120679942458;0,11742393162393162;0,5953570085470086;0,4804;0,9794;0,134;0,4388;0,3146;0,9384;0,744;0,9957;0,9417;0,9746
68;46221;114018,01273358069;Po;0,8120459126468208;0,027;539;22;0,2966120679942458;0,11742393162393162;0,5953570085470086;0,4723;0,9794;0,1329;0,4293;0,3146;0,9405;0,744;0,9958;0,944;0,9746
69;46221;114018,01273358069;Po;0,7830442729094343;0,028;539;22;0,2966120679942458;0,11742393162393162;0,5953570085470086;0,4852;0,9794;0,1659;0,4297;0,3146;0,9372;0,744;0,9934;0,9432;0,9746
